#Api/Core.php
"This ";"This "
" is not valid";" is not valid"
"View Feedbacks";"View Feedbacks"
"Severities";"Severities"
"Categories";"Categories"
"Status";"Status"
"Block Users";"Block Users"
"Block IP Addresses";"Block IP Addresses"
"Statistics";"Statistics"
"Feedback Questions";"Feedback Questions"
"This License Key is not valid";"This License Key is not valid"

#settings/content.php
"Recent Feedbacks";"Recent Feedbacks"
"Displays a list of recently created feedbacks.";"Displays a list of recently created feedbacks."
"";""
"";""


#settings/my.sql
"Idea";"Idea"
"Question";"Question"
"Problem";"Problem"
"Praise";"Praise"
"Feature";"Feature"
"Trivial";"Trivial"
"Text";"Text"
"Tweak";"Tweak"
"Minor";"Minor"
"Major";"Major"
"Crash";"Crash"
"Block";"Block"
"Planned";"Planned"
"Started";"Started"
"Completed";"Completed"
"Declined";"Declined"
"Response";"Response"
"Under Review";"Under Review"
"Global Settings";"Global Settings"
"{item:$subject} posted a new feedback:";"{item:$subject} posted a new feedback:"
"{item:$subject} commented on {item:$owner}'s {item:$object:feedback}:";"{item:$subject} commented on {item:$owner}'s {item:$object:feedback}:
"{item:$subject} commented on {item:$owner}''s {item:$object:feedback}: {body:$body}";"{item:$subject} commented on {item:$owner}''s {item:$object:feedback}: {body:$body}"
"{item:$subject} commented on {item:$owner}'s {item:$object:feedback}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:feedback}: {body:$body}"


#controllers/indexController.php
"You have successfully created feedback.";"You have successfully created feedback."
"Browse Feedbacks";"Browse Feedbacks"
"My Feedbacks";"My Feedbacks"

#views/scripts/_FancyUpload.tpl

"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"File Upload";"File Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"Upload a Picture:";"Upload a Picture:"
"Click "Add Pictures" to select one or more pictures from your computer. After you have selected the pictures, they will begin to upload right away. When your upload is finished, click the button below your picture list to save them to your feedback.";"Click "Add Pictures" to select one or more pictures from your computer. After you have selected the pictures, they will begin to upload right away. When your upload is finished, click the button below your picture list to save them to your feedback."
"Add Pictures";"Add Pictures"
"Clear List";"Clear List"

#views/scripts/_formButtonCancel.tpl

"Save Changes";"Save Changes"
"or";"or"

#views/scripts/_formImagerainbow1.tpl

"Customize feedback button color";"Customize feedback button color"
"Select the color of the feedback button. (Click on the rainbow below to choose your color.)";"Select the color of the feedback button. (Click on the rainbow below to choose your color.)"

#views/scripts/_formImagerainbow2.tpl

"Customize feedback button hover color";"Customize feedback button hover color"
"Select the hover color of the feedback button. (Click on the rainbow below to choose your color.)";"Select the hover color of the feedback button. (Click on the rainbow below to choose your color.)"

#views/scripts/delete.tpl

"Delete Feedback?";"Delete Feedback?"
"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted.";"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted."
"cancel";"cancel"

#views/scripts/detail.tpl

"Delete";"Delete"
"Feedback Details :";"Feedback Details :"
"Title :";"Title :"
"Owner :";"Owner :"
"Anonymous User";"Anonymous User"
"Owner Email :";"Owner Email :"
"Owner Name :";"Owner Name :"
"Description :";"Description :"
"Creation Date :";"Creation Date :"
"about %s";"about %s"
"Category :";"Category :"
"Severity :";"Severity :"
"Status :";"Status :"
"Views :";"Views :"
"Votes :";"Votes :"
"Comments :";"Comments :"
"Pictures :";"Pictures :"
"IP Address :";"IP Address :"
"Browser Detail :";"Browser Detail :"
"Close";"Close"

#views/scripts/index.tpl

"Feedback Plugin";"Feedback Plugin"

#views/scripts/admin-manage/blockuser.tpl

"Block Users";"Block Users"
"Here, you can block users from creating feedback, and from commenting on feedback. You may search for users to block using the form below.";"Here, you can block users from creating feedback, and from commenting on feedback. You may search for users to block using the form below."
"%s members found";"%s members found"
"ID";"ID"
"Username";"Username"
"Feedback Posting";"Feedback Posting"
"Comment Posting";"Comment Posting"
"Email";"Email"
"User Level";"User Level"
"Signup Date";"Signup Date"
"Click to block feedback from this user";"Click to block feedback from this user"
"Click to allow feedback from this user";"Click to allow feedback from this user"
"Click to block comments from this user";"Click to block comments from this user"
"Click to allow comments from this user";"Click to allow comments from this user"

#views/scripts/admin-manage/index.tpl

"Manage Feedback";"Manage Feedback"
"This page lists all the feedback posted by the users. Here, you can monitor feedback, delete them, make feedback featured / un-featured and set status for feedback.";"This page lists all the feedback posted by the users. Here, you can monitor feedback, delete them, make feedback featured / un-featured and set status for feedback."
"Are you sure you want to delete selected feedback?";"Are you sure you want to delete selected feedback?"
" feedback found";" feedback found"
"Featured";"Featured"
"Owner";"Owner"
"Private";"Private"
"Public";"Public"
"Creation";"Creation"
"Extras";"Extras"
"Options";"Options"
"Visibility";"Visibility"
"Make Private";"Make Private"
"Make Public";"Make Public"
"Anonymous";"Anonymous"
"Un-featured";"Un-featured"
"Featured";"Featured"
"Remove as Featured";"Remove as Featured"
"Make Featured";"Make Featured"
"(Edit)";"(Edit)"
"Add Status";"Add Status"
"Details";"Details"
"view |";"view |"
"delete";"delete"
"Delete Selected";"Delete Selected"

#views/scripts/admin-manage/delete.tpl

"Delete Feedback?";"Delete Feedback?"
"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted.";"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted."

#views/scripts/admin-settings/addstat.tpl

"Color :";"Color :"
"(To choose color click on rainbow)";"(To choose color click on rainbow)"

#views/scripts/admin-settings/blockips.tpl

" or ";" or "
"Block IP Addresses";"Block IP Addresses"
"Here, you can block feedback creation and commenting on feedback based on IP Addresses of users.";"Here, you can block feedback creation and commenting on feedback based on IP Addresses of users."
"Blockip Address";"Blockip Address"
"IP Address";"IP Address"
"Click to block feedback from this IP Address";"Click to block feedback from this IP Address"
"Click to allow feedback from this IP Address";"Click to allow feedback from this IP Address"
"Click to block comments from this IP Address";"Click to block comments from this IP Address"
"Click to allow comments from this IP Address";"Click to allow comments from this IP Address"
"Add New IP Address";"Add New IP Address"

#views/scripts/admin-settings/categories.tpl

"edit";"edit"
"Feedback Categories";"Feedback Categories"
"If you want to allow your users to categorize their feedback, create the categories below. If you have no categories, your users will not be given the option of assigning a feedback category.";"If you want to allow your users to categorize their feedback, create the categories below. If you have no categories, your users will not be given the option of assigning a feedback category."
"Category Name";"Category Name"
"Number of Times Used";"Number of Times Used"
"Add New Category";"Add New Category"
"If you want to allow your users to categorize their feedback, create the categories below. If you have no categories, your users will not be given the option of assigning a feedback category. Below, you can set the sequence of items in the order in which they should appear to users in the create / edit / search form. To do so, drag-and-drop the items vertically and click on 'Save Order' to save the sequence.";"If you want to allow your users to categorize their feedback, create the categories below. If you have no categories, your users will not be given the option of assigning a feedback category. Below, you can set the sequence of items in the order in which they should appear to users in the create / edit / search form. To do so, drag-and-drop the items vertically and click on 'Save Order' to save the sequence."

#views/scripts/admin-settings/delete.tpl

"Delete This Entry?";"Delete This Entry?"
"Are you sure that you want to delete this entry? It will not be recoverable after being deleted.";"Are you sure that you want to delete this entry? It will not be recoverable after being deleted."

#views/scripts/admin-settings/editstat.tpl

"Edit Status";"Edit Status"

#views/scripts/admin-settings/severities.tpl

"Feedback Severities";"Feedback Severities"
"Create new severities below for the Feedback on your site.";"Create new severities below for the Feedback on your site."
"Severity Name";"Severity Name"
"Add New Severity";"Add New Severity"
"Save Order";"Save Order"
"Create new severities below for the Feedback on your site. Below, you can set the sequence of items in the order in which they should appear to users in the create / edit form. To do so, drag-and-drop the items vertically and click on 'Save Order' to save the sequence.";"Create new severities below for the Feedback on your site. Below, you can set the sequence of items in the order in which they should appear to users in the create / edit form. To do so, drag-and-drop the items vertically and click on 'Save Order' to save the sequence."

#views/scripts/admin-settings/statistic.tpl

"Feedback Statistics";"Feedback Statistics"
"Below are some valuable statistics for the Feedback submitted on this site:";"Below are some valuable statistics for the Feedback submitted on this site:"
"Total feedback";"Total feedback"
"Total Public Feedback";"Total Public Feedback"
"Total Private Feedback";"Total Private Feedback"
"Total Anonymous Feedback";"Total Anonymous Feedback"
"Total Comments";"Total Comments"
"Total Votes";"Total Votes"

#views/scripts/admin-settings/status.tpl

"Create or Edit status values for the feedback.";"Create or Edit status values for the feedback."
"Status Name";"Status Name"
"Add New Status";"Add New Status"
"Feedback Status";"Feedback Status"

#views/scripts/image/remove.tpl

"Pictures";"Pictures"
"Delete Picture?";"Delete Picture?"
"Are you sure that you want to delete the picture ?";"Are you sure that you want to delete the picture ?"

#views/scripts/image/upload.tpl

"Feedback Pictures";"Feedback Pictures"

#views/scripts/image/view.tpl

"%1$s's Pictures";"%1$s\'s Pictures"
"Picture %1$s of %2$s";"Picture %1$s of %2$s"
"Prev";"Prev"
"Next";"Next"

#views/scripts/index/browse.tpl

"Feedback has been created successfully!";"Feedback has been created successfully!"
"Feedbacks";"Feedbacks"
"Create New Feedback";"Create New Feedback"
"Most Voted Feedbacks";"Most Voted Feedbacks"
" Views";" Views"
" Comments";" Comments"
"No, Feedback found.";"No, Feedback found."
"Nobody has posted a feedback  with that criteria.";"Nobody has posted a feedback  with that criteria."
"Be the first to %1$swrite%2$s one!";"Be the first to %1$swrite%2$s one!"
"Nobody has posted a feedback yet.";"Nobody has posted a feedback yet."
"vote";"vote"
"Remove";"Remove"
" Pictures";" Pictures"
"Posted by %s about %s";"Posted by %s about %s"
"Posted by Anonymous user about %s";"Posted by Anonymous user about %s"
"Category:";"Category:"
"<b>Status:</b>";"<b>Status:</b>"
"<b>Status Comment:</b>";"<b>Status Comment:</b>"
" Votes";" Votes"
"votes";"votes"
"Votes";"Votes"
"Comments";"Comments"
"view";"view"


#views/scripts/index/create.tpl

"You have been blocked by the site admin from creating feedback.";"You have been blocked by the site admin from creating feedback."
"Please ";"Please "
"login";"login"
" to create feedback";" to create feedback"
"Search";"Search"
"Popular Feedback from the community";"Popular Feedback from the community"
"Go to Feedback Forum &raquo;";"Go to Feedback Forum &raquo;"
"Featured";"Featured"
" to view feedback";" to view feedback"
" to view and create feedback";" to view and create feedback"
"Go to My Feedbacks &raquo;";"Go to My Feedbacks &raquo;"


#views/scripts/index/delete.tpl

"Feedback";"Feedback"
"Are you sure that you want to delete the feedback titled "%1$s" ? It will not be recoverable after being deleted.";"Are you sure that you want to delete the feedback titled "%1$s" ? It will not be recoverable after being deleted."

#views/scripts/index/list.tpl

