#Siteadvsearch/widgets/menu-mini/index.tpl
"SEARCH_BOX_MESSAGE";"Search for..."
"Loading ...";"Loading ..."
"Please Enter Search Key.";"Please Enter Search Key."
"Please enter your search query and search again.";"Please enter your search query and search again."
"User";"User"
"See more results for";"See more results for"
"Members";"Members"
"Sorry, no results containing your search terms were found.";"Sorry, no results containing your search terms were found."
"Find all %s with";"Find all %s with"
"Find in %s";"Find in %s"
"Find in ";"Find in "
"See more results for";"See more results for"
"You have not entered anything in the search box. Please write something in the search box and start searching again a search query.";"You have not entered anything in the search box. Please write something in the search box and start searching again a search query."
