#Api/Core.php
"Everyone";"Everyone"

#controllers/license/widgetSettings.php
"Enter a keyword or question";"Enter a keyword or question"
"Top Rated FAQs";"Top Rated FAQs"
"Featured FAQs";"Featured FAQs"
"Most Helpful FAQs";"Most Helpful FAQs"
"Most Liked FAQs";"Most Liked FAQs"
"Most Commented FAQs";"Most Commented FAQs"
"Most Recent FAQs";"Most Recent FAQs"
"Most Viewed FAQs";"Most Viewed FAQs"
"Related FAQs";"Related FAQs"
"Same Categories FAQs";"Same Categories FAQs"

#controllers/IndexController.php
"Category <BR /> Please complete this field - it is required.";"Category <BR /> Please complete this field - it is required."
"Category <BR /> Please choose different combinations for categories - this field can not take same values.";"Category <BR /> Please choose different combinations for categories - this field can not take same values."
"If you are selecting 'Everyone' option in any of the available privacy fields, then you must also choose 'Everyone' in other privacy options.";"If you are selecting 'Everyone' option in any of the available privacy fields, then you must also choose 'Everyone' in other privacy options."
"Published successfully !";"Published successfully !"
"Your question has been submitted.";"Your question has been submitted."
"See all results for ";"See all results for "
"Successfully deleted FAQ !";"Successfully deleted FAQ !"
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred."

#Form/Create.php
"Create New FAQ";"Create New FAQ"
"Create your new FAQ by filling the information below, then click ‘Submit’.";"Create your new FAQ by filling the information below, then click ‘Submit’."
"English";"English"
"Question";"Question"
"Answer";"Answer"
"Question in %s";"Question in %s"
"Answer in %s";"Answer in %s"
"Answer in";"Answer in"
"Question in";"Question in"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Status";"Status"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Member Levels";"Member Levels"
"Select the member level to which this FAQ should be available. Use CTRL-click to select or deselect multiple Member Levels.";"Select the member level to which this FAQ should be available. Use CTRL-click to select or deselect multiple Member Levels."
"Profile Types";"Profile Types"
"Select the profile type to which this FAQ should be available. Use CTRL-click to select or deselect multiple Profile Types.";"Select the profile type to which this FAQ should be available. Use CTRL-click to select or deselect multiple Profile Types."
"Networks Selection";"Networks Selection"
