"Visit your Insights Group";"Visit your Insights Group"
"Send an update to people who like this";"Send an update to people who like this"
"Promote with %s Ads";"Promote with %s Ads"
"ly active user";"ly active user";"ly active users"
"person likes this";"person likes this";"people like this"
"since last";"since last"
"comment";"comment";"comments"
"visit";"visit";"visits"
"Declined";"Declined"
"Approval Pending";"Approval Pending"
"Approved";"Approved"
" Group ";" Group "
"Dis-Approved";"Dis-Approved"
"The selected topic has been successfully renamed.";"The selected topic has been successfully renamed."
"The selected topic has been deleted.";"The selected topic has been deleted."
"The changes to your post have been saved.";"The changes to your post have been saved."
"The selected post has been deleted.";"The selected post has been deleted."
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred."
"Changes saved.";"Changes saved."
"Photo deleted.";"Photo deleted."
"Invalid method";"Invalid method"
"Invalid angle, must not be empty";"Invalid angle, must not be empty"
"Invalid angle, must be 90 or 270";"Invalid angle, must be 90 or 270"
"Could not retrieve file";"Could not retrieve file"
"Invalid direction";"Invalid direction"
"group failed validation check";"group failed validation check"
"content id and tmp content id both empty";"content id and tmp content id both empty"
"content row missing";"content row missing"
"missing name and/or type info";"missing name and/or type info"
"Your changes have been saved.";"Your changes have been saved."
"Group not found";"Group not found"
"Cannot delete non-custom groups";"Cannot delete non-custom groups"
"no widget found with name:";"no widget found with name:"
"Unable to load admin form class";"Unable to load admin form class"
"Group Category * Please complete this field - it is required.";"Group Category * Please complete this field - it is required."
"Your group has been successfully created. You can enhance your group from this dashboard by creating other components.";"Your group has been successfully created. You can enhance your group from this dashboard by creating other components."
"Invalid sender email address value";"Invalid sender email address value"
"Please enter correct email address of the receiver(s).";"Please enter correct email address of the receiver(s)."
"Your message to your friend has been sent successfully.";"Your message to your friend has been sent successfully."
"Your group location has been modified successfully.";"Your group location has been modified successfully."
"The package for your Group has been successfully changed.";"The package for your Group has been successfully changed."
"Options";"Options"
"Search Members";"Search Members"
"No results were found.";"No results were found."
"Successfully Liked.";"Successfully Liked."
"Successfully Unliked.";"Successfully Unliked."
"Successfully Published !";"Successfully Published !"
"You have successfully add the Group.";"You have successfully add the Group."
"You have successfully remove this Group.";"You have successfully remove this Group."
"URL component should be atleast 3 characters long.";"URL component should be atleast 3 characters long."
"URL component should be maximum 255 characters long.";"URL component should be maximum 255 characters long."
"URL not available.";"URL not available."
"URL component can contain alphabets, numbers, underscores & dashes only.";"URL component can contain alphabets, numbers, underscores & dashes only."
"URL Available!";"URL Available!"
"URL not valid.";"URL not valid."
"There are no groups joined by you.";"There are no groups joined by you."
"There are no profile fields available.";"There are no profile fields available."
"Subject is required field !";"Subject is required field !"
"This message corresponds to the Group:";"This message corresponds to the Group:"
"Your message has been sent successfully.";"Your message has been sent successfully."
"Create the update to be sent to people who like your Group.";"Create the update to be sent to people who like your Group."
"<div class='tip'><span>1 person likes this Group.</span></div>";"<div class='tip'><span>1 person likes this Group.</span></div>"
"%s people like this Group.";"%s people like this Group."
"This is an update for the group:";"This is an update for the group:"
"Update was sent successfully to people who like your Group.";"Update was sent successfully to people who like your Group."
"Text saved successfully.";"Text saved successfully."
"Alert!";"Alert!"
