"Members Invite Others";"Members Invite Others"
"Do you want group members to invite other people to this group?";"Do you want group members to invite other people to this group?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only group admins can invite other people";"No, only group admins can invite other people"
"Approve Members";"Approve Members"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."
"Group Members Only";"Group Members Only"
"Who Liked This Group";"Who Liked This Group"
"GROUPMEMBER_TITLE";"Role"
"MEMBER_DATE";"Affiliation Date"
"GROUPMEMBER_OWNER";"Owner"
"GROUPMEMBER_ADMIN";"Group Admin"
"GROUPMEMBER_MEMBER";"Member"
"ADMIN_ACTIVITY_TYPE_SITEGROUP_JOIN";"When someone join the group."
"_ACTIVITY_ACTIONTYPE_SITEGROUP_JOIN";"When I join the group"
"_EMAIL_SITEGROUPMEMBER_REQUEST_EMAIL_TITLE";"Group Membership Request"
"_EMAIL_SITEGROUPMEMBER_REQUEST_EMAIL_DESCRIPTION";"This email goes to the owner and group admin of the Group when member send request to join the group."
"_EMAIL_SITEGROUPMEMBER_REQUEST_EMAIL_SUBJECT";"Group member request: [group_title]."
"_EMAIL_SITEGROUPMEMBER_REQUEST_EMAIL_BODY";"[header]

You have received a membership request in the group: [group_title_with_link].

To visit this group, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"_EMAIL_SITEGROUPMEMBER_APPROVE_EMAIL_TITLE";"Group Member Request Approve"
"_EMAIL_SITEGROUPMEMBER_APPROVE_EMAIL_DESCRIPTION";"This email goes to the member who send request to join the group."
"_EMAIL_SITEGROUPMEMBER_APPROVE_EMAIL_SUBJECT";"Group Member Request Approve: [group_title]."
"_EMAIL_SITEGROUPMEMBER_APPROVE_EMAIL_BODY";"[header]

You are now the member of the Group: [group_title_with_link].

To visit this group, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"Join More Groups";"Join More Groups"
"You have already sent a membership request.";"You have already sent a membership request."
"You are now a member of this group.";"You are now a member of this group."
"Leave Group";"Leave Group"
"Are you sure you want to leave this group?";"Are you sure you want to leave this group?"
"You have successfully left this group.";"You have successfully left this group."
"Request Group Membership";"Request Group Membership"
