"Page Profile Discussions";"Page Profile Discussions"
"This widget forms the Discussions tab on the Page Profile and displays the discussions of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Discussions tab on the Page Profile and displays the discussions of the Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Most Discussed Pages";"Most Discussed Pages"
"Displays list of Pages having maximum number of discussions.";"Displays list of Pages having maximum number of discussions."
"Count";"Count"
"Forms the Discussions tab of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Discussions tab of your Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Sitepagediscussion";"Sitepagediscussion"
"Page Discussions";"Page Discussions"
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you posted on."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you created."
"{item:$subject} posted a new discussion topic in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} posted a new discussion topic in the page {itemParent:$object:sitepage_page}: {body:$body}"
"{item:$subject} replied to a discussion in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} replied to a discussion in the page {itemParent:$object:sitepage_page}: {body:$body}"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_CREATE";"When someone creates a new page topic."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_REPLY";"When someone replies to a page topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_CREATE";"New page discussion topics creates by member"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_REPLY";"Replying to a page discussion topic"
"This topic is closed for posting.";"This topic is closed for posting."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"When page admin creates a new page topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"New page discussion topics creates by page admin"
"{item:$object} posted a new discussion topic:";"{item:$object} posted a new discussion topic:"
"{item:$subject} posted a new discussion topic in the page {item:$object}:";"{item:$subject} posted a new discussion topic in the page {item:$object}:"
"Directory / Pages - Discussions Extension";"Directory / Pages - Discussions Extension"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When page admin replies to a page topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When page admin replies to a page topic."
"{item:$object} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$object} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$subject} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$subject} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$subject} posted a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} posted a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"Page Discussion Topic View";"Page Discussion Topic View"
"This widget should be placed on the Page Discussion Topic View Page.";"This widget should be placed on the Page Discussion Topic View Page."
"Page Event Discussion";"Page Event Discussion"
"This widget should be placed on the Page Event Profile Page.";"This widget should be placed on the Page Event Profile Page."
"ACTIVITY_TYPE_SITEPAGEDISCUSSION_CREATE";"When a new topic is posted in the page."
"{item:$subject} has created a page discussion {var:$eventname}.";"{item:$subject} has created a page discussion {var:$eventname}."
"{item:$subject} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$object} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"{item:$object} posted a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} posted a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}"
"ACTIVITY_CATEGORY_TYPE_SITEPAGEDISCUSSION";"Pages"
