"ITEM_TYPE_SITEPAGEMUSIC_PLAYLIST";"Page Playlists"
"ITEM_TYPE_SITEPAGEMUSIC_PLAYLIST_SONG";"Page Songs"
"_ACTIVITY_ACTIONTYPE_SITEPAGEMUSIC_PLAYLIST_NEW";"New page music add by member"
"ADMIN_ACTIVITY_TYPE_SITEPAGEMUSIC_PLAYLIST_NEW";"When someone add a new page music."
"ADMIN_ACTIVITY_TYPE_SITEPAGEMUSIC_ADMIN_NEW";"When page admin add a new page music."
"_ACTIVITY_ACTIONTYPE_SITEPAGEMUSIC_ADMIN_NEW";"New page music add by page admin"
"Add New Songs";"Add New Songs"
"Choose music from your computer to add to the playlist of this Page.";"Choose music from your computer to add to the playlist of this Page."
"Playlist Name";"Playlist Name"
"Playlist Description";"Playlist Description"
"Show this playlist in search resultss.";"Show this playlist in search resultss."
"Playlist Artwork";"Playlist Artwork"
"Save Music to Playlist";"Save Music to Playlist"
"_SITEPAGEMUSIC_UNTITLED_PLAYLIST";"Untitled Playlist"
"_SITEPAGEMUSIC_UPLOAD_DESCRIPTION";"Click ""Add Music"" to select one or more songs from your computer. After you have selected the songs, they will begin to upload right away. When your upload is finished, click the button below the song list to save them to your playlist."
"Edit Playlist";"Edit Playlist"
"Delete Playlist";"Delete Playlist"
"Are you sure you want to delete this playlist?";"Are you sure you want to delete this playlist?"
"Choose Playlist";"Choose Playlist"
"Add Song To Playlist";"Add Song To Playlist"
"Add to my Playlist";"Add to my Playlist"
"Create New Playlist";"Create New Playlist"
"Add Song";"Add Song"
"Music";"Music"
"Not a valid song";"Not a valid song"
"Invalid playlist";"Invalid playlist"
"Unknown database error";"Unknown database error"
"Playlist doesn't exists or not authorized to delete";"Playlist doesn't exists or not authorized to delete"
"The selected playlist has been deleted.";"The selected playlist has been deleted."
"Not allowed to edit this playlist";"Not allowed to edit this playlist"
"Song was not successfully attached";"Song was not successfully attached"
"Upload failed by database query";"Upload failed by database query"
"invalid song_id";"invalid song_id"
"Please enter a title or select a playlist.";"Please enter a title or select a playlist."
"This playlist already has this song.";"This playlist already has this song."
"Max file size limit exceeded or session expired.";"Max file size limit exceeded or session expired."
"Invalid upload or file too large";"Invalid upload or file too large"
"Are you sure that you want to delete the page playlists titled ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the page playlists titled ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."
"rename";"rename"
"What is the title of this song?";"What is the title of this song?"
"Created %s";"Created %s"
"Created by ";"Created by "
"%s play";"%s play";"%s plays"
"Upload Music";"Upload Music"
"Disable from Page Profile";"Disable from Page Profile"
"Play on Page Profile";"Play on Page Profile"
"Go to my playlist";"Go to my playlist"
"There was an error processing your request. Please try again later.";"There was an error processing your request. Please try again later."
"There are no songs uploaded yet.";"There are no songs uploaded yet."
"Why don\'t you add some?";"Why don\'t you add some?"
"Pop-out Player";"Pop-out Player"
"%s track";"%s track";"%s tracks"
"This playlist is private.";"This playlist is private."
"Click ""Browse..."" to select the MP3 file you would like to upload.";"Click ""Browse..."" to select the MP3 file you would like to upload."
"Loading song, please wait...";"Loading song, please wait..."
"Unable to upload music. Please click cancel and try again";"Unable to upload music. Please click cancel and try again"
"Song got lost in the mail. Please click cancel and try again";"Your song did not upload successfully. Please click cancel and try again."
"Invalid file type";"Invalid file type"
"You must be logged in.";"You must be logged in."
"You are not allowed to upload songs.";"You are not allowed to upload songs."
"Unable to create default playlist in database";"Unable to create default playlist in database"
"Profile Music";"Profile Music"
"Profile Player";"Profile Player"
"Page Profile Music";"Page Profile Music"
"This widget forms the Music tab on the Page Profile and displays the music of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Music tab on the Page Profile and displays the music of the Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Page Profile Most Popular Playlists";"Page Profile Most Popular Playlists"
"Displays list of a Page's most played playlists. This widget should be placed on the Page Profile.";"Displays list of a Page's most played playlists. This widget should be placed on the Page Profile."
"Page Profile Most Commented Playlists";"Page Profile Most Commented Playlists"
"Displays list of Page's most commented playlists. This widget should be placed on the Page Profile.";"Displays list of Page's most commented playlists. This widget should be placed on the Page Profile."
"Page Profile Most Recent Playlists";"Page Profile Most Recent Playlists"
"Displays list of a Page's most recent playlists. This widget should be placed on the Page Profile.";"Displays list of a Page's most recent playlists. This widget should be placed on the Page Profile."
"Page Profile Most Liked Playlists";"Page Profile Most Liked Playlists"
"Displays list of Page's most liked playlists. This widget should be placed on the Page Profile.";"Displays list of Page's most liked playlists. This widget should be placed on the Page Profile."
"Displays list of recent playlists of the pages on the site.";"Displays list of recent playlists of the pages on the site."
"Popular Page Playlists";"Popular Page Playlists"
"Displays the popular page playlists of the site.";"Displays the popular page playlists of the site."
"Page Profile Player";"Page Profile Player"
"Displays a music player that plays the playlist the Page Admin has selected to play on their Page Profile.";"Displays a music player that plays the playlist the Page Admin has selected to play on their Page Profile."
"Displays list of popular playlists of pages on the site.";"Displays list of popular playlists of pages on the site."
"Count";"Count"
"number of playlists to show";"number of playlists to show"
"Displays the Most Popular Page Playlists. You can choose the number of entries to be shown.";"Displays the Most Popular Page Playlists. You can choose the number of entries to be shown."
"Search Page Music form";"Search Page Music form"
"Displays the form for searching Page Music on the basis of various filters. You can edit the fields to be available in this form.";"Displays the form for searching Page Music on the basis of various filters. You can edit the fields to be available in this form."
"Music Title";"Music Title"
"Page Music";"Page Music"
"Displays the list of Music from Pages created on your community. This widget should be placed in the widgetized Page Music page. Results from the Search Page Music form are also shown here.";"Displays the list of Music from Pages created on your community. This widget should be placed in the widgetized Page Music page. Results from the Search Page Music form are also shown here."
"Most Commented Page Playlists";"Most Commented Page Playlists"
"Displays the Most Commented Page Playlists. You can choose the number of entries to be shown.";"Displays the Most Commented Page Playlists. You can choose the number of entries to be shown."
"Sponsored Playlists";"Sponsored Playlists"
"Displays the Music from Paid Pages. You can choose the number of entries to be shown.";"Displays the Music from Paid Pages. You can choose the number of entries to be shown."
"Most Liked Page Playlists";"Most Liked Page Playlists"
"Displays the Most Liked Page Playlists. You can choose the number of entries to be shown.";"Displays the Most Liked Page Playlists. You can choose the number of entries to be shown."
"This widget should be placed on the Page Music View Page.";"This widget should be placed on the Page Music View Page."
"Page Music List";"Page Music List"
"This is the page music.";"This is the page music."
"View Page Music";"View Page Music"
"This is the view page for a page music.";"This is the view page for a page music."
"Everyone's Music";"Everyone's Music"
"My Music";"My Music"
"Sponsored Music";"Sponsored Music"
"Music of Pages I Like";"Music of Pages I Like"
"Displays the Playlists from Paid Pages. You can choose the number of entries to be shown.";"Displays the Playlists from Paid Pages. You can choose the number of entries to be shown."
"Forms the Music tab of your Page and shows music of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Music tab of your Page and shows music of your Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Displays your Page's most popular playlists.";"Displays your Page's most popular playlists."
"Displays your Page's most commented playlists.";"Displays your Page's most commented playlists."
"Displays your Page's most recent playlists.";"Displays your Page's most recent playlists."
"Displays your Page's most liked playlists.";"Displays your Page's most liked playlists."
"Displays a music player that plays the playlist that you select to be played on your Page Profile.";"Displays a music player that plays the playlist that you select to be played on your Page Profile."
"Most Popular Playlists";"Most Popular Playlists"
