"Your offer has been added successfully.";"Your offer has been added successfully."
"Your offer has been edit successfully.";"Your offer has been edit successfully."
"Coupon Code";"Coupon Code"
"If your offer requires a coupon code for redemption, then please add it here. (Note: Coupon code should be in between 4 and 16 characters in length and can contain alphabets, numbers, or a combination of both. Special characters other than hyphen (-) are not allowed.)";"If your offer requires a coupon code for redemption, then please add it here. (Note: Coupon code should be in between 4 and 16 characters in length and can contain alphabets, numbers, or a combination of both. Special characters other than hyphen (-) are not allowed.)"
"Please enter valid coupon code.";"Please enter valid coupon code."
"Coupon Code:";"Coupon Code:"
"Claims left";"Claims left"
"Claim left";"Claim left"
"End date: Never Expires";"End date: Never Expires"
"To make this offer more relevant for users and to mention its terms and conditions, enter its description. Terms and conditions can contain information such as coupon code used by staff at the store etc.";"To make this offer more relevant for users and to mention its terms and conditions, enter its description. Terms and conditions can contain information such as coupon code used by staff at the store etc."
"Enter your offer's details below, click 'Preview' to view your offer.";"Enter your offer's details below, click 'Preview' to view your offer."
"When will this offer end?";"When will this offer end?"
"Offer Picture";"Offer Picture"
"%s page found.";"%s page found.";"%s pages found."
"Pages With Offers";"Pages With Offers"
"Enter the maximum number of times this offer can be claimed by members. (Enter 0 for unlimited. Note: You will not be able to edit claims once this offer expires.)";"Enter the maximum number of times this offer can be claimed by members. (Enter 0 for unlimited. Note: You will not be able to edit claims once this offer expires.)"
"Add a New Offer";"Add a New Offer"
"Enter your offer's details below, then click 'Add Offer' to publish it on your Page.";"Enter your offer's details below, then click 'Add Offer' to publish it on your Page."
"Offer Title";"Offer Title"
"Never. This offer does not have an end date.";"Never. This offer does not have an end date."
"This offer ends on a specific date. (Select the date by clicking on the calendar icon below.)";"This offer ends on a specific date. (Select the date by clicking on the calendar icon below.)"
"Add Offer";"Add Offer"
"End offer on a specific date.";"End offer on a specific date."
"Select a date by clicking on the calendar icon below.";"Select a date by clicking on the calendar icon below."
"View More";"View More"
"Edit Offer";"Edit Offer"
"Edit your offer's details below, then click 'Save Changes' to publish it on your Page.";"Edit your offer's details below, then click 'Save Changes' to publish it on your Page."
"Page Profile Offers";"Page Profile Offers"
"This widget forms the Offers tab on the Page Profile and displays the offers of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Offers tab on the Page Profile and displays the offers of the Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Latest Page Offers";"Latest Page Offers"
"Displays list of latest page offers on the site.";"Displays list of latest page offers on the site."
"Hot Page Offers";"Hot Page Offers"
