"{item:$subject} commented on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} commented on {item:$owner}'s blog entry {item:$object:$title}: {body:$body}"
"{item:$subject} replied to a comment on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} replied to a comment on {item:$owner}'s blog entry {item:$object:$title}: {body:$body}"
"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option.";"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option."
"posted by";"posted by"
"Popular Tags";"Popular Tags"
"Popular Tags (%s)";"Popular Tags (%s)"
"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings.";"Note: Users will not be able to create entries in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this entry type to enable users to create entries."
"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site.";"Sorry, you can not post a new entry right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_NEW_LISTTYPE_2";"Multiple Entry Types - When a new blog is posted."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_NEW_LISTTYPE_2";"New blog"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_2";"Multiple Entry Types - When someone uploads a photo to blog."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_2";"Uploading a photo to blog"
"ADMIN_ACTIVITY_TYPE_VIDEO_SITEREVIEW_LISTTYPE_2";"Multiple Entry Types - When someone uploads a video to blog."
"_ACTIVITY_ACTIONTYPE_VIDEO_SITEREVIEW_LISTTYPE_2";"Uploading a video to blog"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_2";"Multiple Entry Types - When someone uploads a video to blog."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_2";"Uploading a video to blog"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_2";"Multiple Entry Types - When someone write a review on blog."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_2";"Writing a new blog review"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_2";"Multiple Entry Types - When someone creates a new blog topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_2";"Creating blog discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_2";"Multiple Entry Types - When someone replies to blog topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_2";"Replying to blog discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_2";"Multiple Entry Types - When blog Owner change their blog profile photo as User."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_2";"When blog Owner change their blog profile photo as User"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_2";"Multiple Entry Types - When someone adds blog in wishlist."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_2";"Adding blog to wishlist"
"{item:$subject} posted a new blog listing:";"{item:$subject} posted a new blog entry:"
"{item:$subject} added {var:$count} photo(s) to the blog listing: {item:$object:$title} {body:$body}";"{item:$subject} added {var:$count} photo(s) to the blog entry: {item:$object:$title} {body:$body}"
"{item:$subject} posted a new discussion {item:$object:topic} in the blog listing {itemParent:$object:sitereview}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the blog entry {itemParent:$object:sitereview}: {body:$body}"
"{item:$subject} replied to discussion {item:$object:topic} in the blog listing {itemParent:$object:sitereview_listing}: {body:$body}";"{item:$subject} replied to discussion {item:$object:topic} in the blog entry {itemParent:$object:sitereview_entry}: {body:$body}"
"{item:$subject} changed the profile picture of the blog listing {item:$object:$title}:";"{item:$subject} changed the profile picture of the blog entry {item:$object:$title}:"
"{item:$subject} added a new video in the blog listing {item:$object:$title}: {body:$body}";"{item:$subject} added a new video in the blog entry {item:$object:$title}: {body:$body}"
"{item:$subject} added a new video in the blog listing {item:$object}:";"{item:$subject} added a new video in the blog entry {item:$object}:"
"{item:$subject} rated and wrote a review for the blog listing {item:$object}:";"{item:$subject} rated and wrote a review for the blog entry {item:$object}:"
"{item:$subject} posted a new blog listing: {item:$object}.";"{item:$subject} posted a new blog entry: {item:$object}."
"Edit Blog Location";"Edit Entry Location"
"Edit the location of your blog by clicking on 'Edit Blog Location' below. You can accurately mark the position of your blog on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position.";"Edit the location of your entry by clicking on 'Edit Entry Location' below. You can accurately mark the position of your entry on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position."
"You have not added a location for your blog. %1$sClick here%2$s to add a location for your blog.";"You have not added a location for your entry. %1$sClick here%2$s to add a location for your entry."
"Post New Blog";"Post New Entry"
"Compose your new blog below, then click 'Submit' to publish the blog.";"Compose your new entry below, then click 'Submit' to publish the entry."
"Blog Title";"Entry Title"
"Who may see this blog?";"Who may see this entry?"
"Who may comment on this blog?";"Who may comment on this entry?"
"Who may upload photos for this blog?";"Who may upload photos for this entry?"
"Who may create videos for this blog?";"Who may create videos for this entry?"
"Select the networks, members of which should be able to see your blog. (Press Ctrl and click to select multiple networks. You can also choose to make your blog viewable to everyone.)";"Select the networks, members of which should be able to see your entry. (Press Ctrl and click to select multiple networks. You can also choose to make your entry viewable to everyone.)"
"Show this blog in search results";"Show this entry in search results"
"Show this blog on browse page and in various blocks.";"Show this blog on browse page and in various blocks."
"SEPARATE_BLOG_TAGS_WITH_COMMAS";"Separate tags with commas."
"Your blog has been successfully created. You can enhance your blog from this Dashboard by creating other components.";"Your entry has been successfully created. You can enhance your entry from this Dashboard by creating other components."
"View Blog";"View Entry"
"View Blog &raquo;";"View Entry &raquo;"
"End blog on a specific date. (Please select date by clicking on the calendar icon below.)";"End entry on a specific date. (Please select date by clicking on the calendar icon below.)"
"When should this blog end?";"When should this entry end?"
"Note: your blog will be expired in %1$s %2$s after an approval or it may be changed by admin.";"Note: your entry will be expired in %1$s %2$s after an approval or it may be changed by admin."
"All Blogs";"All Entries"
"Only Open Blogs";"Only Open Entries"
"Only Closed Blogs";"Only Closed Entries"
"Everyone's Blogs";"Everyone's Entries"
"Only My Friends' Blogs";"Only My Friends' Entries"
"Blogs I Like";"Entries I Like"
"Only Expired Blogs";"Only Expired Entries"
"Blogs Having";"Entries Having"
"Only Blogs With Photos";"Only Entries With Photos"
"Only Blog With Photos";"Only Entry With Photos"
"Edit the overview for your blog using the editor below, and then click 'Save Overview' to save changes.";"Edit the body for your entry using the editor below, and then click 'Save Body' to save changes."
"DASHBOARD_BLOG_SAVE_OVERVIEW";"Save Body"
"DASHBOARD_BLOG_EDIT_OVERVIEW";"Edit Body"
"Edit Blog Overview";"Edit Entry Body"
"Contact information will be displayed on your blog profile.";"Contact information will be displayed on your blog profile."
"ADD_DASHBOARD_BLOG_WHERE_TO_BUY_OPTION";"Add References Option"
"EDIT_DASHBOARD_BLOG_WHERE_TO_BUY_OPTION";"Edit References"
"Add DASHBOARD_BLOG_WHERE_TO_BUY option for this blog using the form below. Enter the name of the Store and other details where this blog is available.";"Add References option for this entry using the form below. Enter the name of the Site and other details where this entry is available."
"Select the online store for your blog from available stores drop-down below.";"Select the online site for your entry from available sites drop-down below."
"Enter the URL of the Store's webpage where this blog is available. (We recommend you to enter complete URL.)";"Enter the URL of the Site's webpage where this entry is available. (We recommend you to enter complete URL.)"
"Edit Blog Style";"Edit Entry Style"
"Edit the CSS style of your blog using the text area below, and then click 'Save Style' to save changes.";"Edit the CSS style of your entry using the text area below, and then click 'Save Style' to save changes."
"Add your own CSS code above to give your blog a more personalized look.";"Add your own CSS code above to give your entry a more personalized look."
"Custom Advanced blog Style";"Custom Advanced entry Style"
"Meta keywords are a great way to provide search engines with information about your blog so that search engines populate your blog in search results. Below, you can add meta keywords for this blog. (The tags entered by you for this blog will also be added to the meta keywords.)";"Meta keywords are a great way to provide search engines with information about your blog so that search engines populate your blog in search results. Below, you can add meta keywords for this entry. (The tags entered by you for this entry will also be added to the meta keywords.)"
"Edit Blog Info";"Edit Blog Info"
"Edit the information of your blog using the form below.";"Edit the information of your entry using the form below."
"Delete Blog?";"Delete Blog?"
"Are you sure that you want to delete the Blog with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Entry with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."
"You have not added a location for your blog. %s to add a location for your blog.";"You have not added a location for your entry. %s to add a location for your entry."
"(You can edit the end date to make the blog live again.)";"(You can edit the end date to make the entry live again.)"
"You do not have any blog that match your search criteria.";"You do not have any entry that match your search criteria."
"You do not have any blogs.";"You do not have any entries."
"Get started by %1$sposting%2$s a new blog.";"Get started by %1$sposting%2$s a new entry."
"You have already created the maximum number of blogs allowed. If you would like to create a new blog, please delete an old one first.";"You have already created the maximum number of entries allowed. If you would like to create a new entry, please delete an old one first."
"Publish Blog";"Publish Entry"
"Close Blog";"Close Entry"
"Open Blog";"Open Entry"
"Delete Blog";"Delete Entry"
"Popular Blog Tags";"Popular Entry Tags"
"Browse the tags created for blog by the various members.";"Browse the tags created for entry by the various members."
"Edit Blog Photos";"Edit Entry Photos"
"Edit and manage the photos of your blog below.";"Edit and manage the photos of your entry below."
"An attractive photo and video Slideshow will be displayed on your Blog Profile page. Below, you can choose the photos to be displayed in this slideshow by using the 'Show in Slideshow' option.";"An attractive photo and video Slideshow will be displayed on your Blog Profile page. Below, you can choose the photos to be displayed in this slideshow by using the 'Show in Slideshow' option."
"There are currently no photos in this blog. %1$sClick here%2$s to add photos now!";"There are currently no photos in this entry. %1$sClick here%2$s to add photos now!"
"Choose photos on your computer to add to this blog. (2MB maximum).";"Choose photos on your computer to add to this entry. (2MB maximum)."
"DASHBOARD_BLOG_WHERE_TO_BUY options of %s";"References options of %s"
"There are currently no DASHBOARD_BLOG_WHERE_TO_BUY option for this blog. Click %s to add options now!";"There are currently no References option for this entry. Click %s to add options now!"
"Edit Blog Videos";"Edit Entry Videos"
"Edit and manage the videos of your blog below.";"Edit and manage the videos of your entry below."
"There are currently no videos in this blog. Click %s to add videos now!";"There are currently no videos in this entry. Click %s to add videos now!"
"An attractive photo and video Slideshow will be displayed on your Blog Profile page. Below, you can select a video to be displayed in that slideshow by using the 'Show in Slideshow' option.";"An attractive photo and video Slideshow will be displayed on your Blog Profile page. Below, you can select a video to be displayed in that slideshow by using the 'Show in Slideshow' option."
"Add a new video in this blog using the form below.";"Add a new video in this entry using the form below."
