"{item:$subject} commented on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} commented on {item:$owner}'s menstrual product listing {item:$object:$title}: {body:$body}"
"{item:$subject} replied to a comment on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} replied to a comment on {item:$owner}'s menstrual product listing {item:$object:$title}: {body:$body}"
"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option.";"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option."
"posted by";"posted by"
"Popular Tags";"Popular Tags"
"Popular Tags (%s)";"Popular Tags (%s)"
"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings.";"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings."
"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site.";"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_NEW_LISTTYPE_33";"Multiple Listing Types - When a new menstrual product is posted."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_NEW_LISTTYPE_33";"New menstrual product"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_33";"Multiple Listing Types - When someone uploads a photo to menstrual product."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_33";"Uploading a photo to menstrual product"
"ADMIN_ACTIVITY_TYPE_VIDEO_SITEREVIEW_LISTTYPE_33";"Multiple Listing Types - When someone uploads a video to menstrual product."
"_ACTIVITY_ACTIONTYPE_VIDEO_SITEREVIEW_LISTTYPE_33";"Uploading a video to menstrual product"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_33";"Multiple Listing Types - When someone uploads a video to menstrual product."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_33";"Uploading a video to menstrual product"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_33";"Multiple Listing Types - When someone write a review on menstrual product."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_33";"Writing a new menstrual product review"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_33";"Multiple Listing Types - When someone creates a new menstrual product topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_33";"Creating menstrual product discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_33";"Multiple Listing Types - When someone replies to menstrual product topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_33";"Replying to menstrual product discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_33";"Multiple Listing Types - When menstrual product Owner change their menstrual product profile photo as User."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_33";"When menstrual product Owner change their menstrual product profile photo as User"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_33";"Multiple Listing Types - When someone adds menstrual product in wishlist."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_33";"Adding menstrual product to wishlist"
"{item:$subject} posted a new menstrual product listing:";"{item:$subject} posted a new menstrual product listing:"
"{item:$subject} added {var:$count} photo(s) to the menstrual product listing: {item:$object:$title} {body:$body}";"{item:$subject} added {var:$count} photo(s) to the menstrual product listing: {item:$object:$title} {body:$body}"
"{item:$subject} posted a new discussion {item:$object:topic} in the menstrual product listing {itemParent:$object:sitereview}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the menstrual product listing {itemParent:$object:sitereview}: {body:$body}"
"{item:$subject} replied to discussion {item:$object:topic} in the menstrual product listing {itemParent:$object:sitereview_listing}: {body:$body}";"{item:$subject} replied to discussion {item:$object:topic} in the menstrual product listing {itemParent:$object:sitereview_listing}: {body:$body}"
"{item:$subject} changed the profile picture of the menstrual product listing {item:$object:$title}:";"{item:$subject} changed the profile picture of the menstrual product listing {item:$object:$title}:"
"{item:$subject} added a new video in the menstrual product listing {item:$object:$title}: {body:$body}";"{item:$subject} added a new video in the menstrual product listing {item:$object:$title}: {body:$body}"
"{item:$subject} added a new video in the menstrual product listing {item:$object}:";"{item:$subject} added a new video in the menstrual product listing {item:$object}:"
"{item:$subject} rated and wrote a review for the menstrual product listing {item:$object}:";"{item:$subject} rated and wrote a review for the menstrual product listing {item:$object}:"
"{item:$subject} posted a new menstrual product listing: {item:$object}.";"{item:$subject} posted a new menstrual product listing: {item:$object}."
"Edit Menstrual Product Location";"Edit Listing Location"
"Edit the location of your menstrual product by clicking on 'Edit Menstrual Product Location' below. You can accurately mark the position of your menstrual product on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position.";"Edit the location of your listing by clicking on 'Edit Listing Location' below. You can accurately mark the position of your listing on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position."
"You have not added a location for your menstrual product. %1$sClick here%2$s to add a location for your menstrual product.";"You have not added a location for your listing. %1$sClick here%2$s to add a location for your listing."
"Post New Menstrual Product";"Post New Listing"
"Compose your new menstrual product below, then click 'Submit' to publish the menstrual product.";"Compose your new listing below, then click 'Submit' to publish the listing."
"Menstrual Product Title";"Listing Title"
"Who may see this menstrual product?";"Who may see this listing?"
"Who may comment on this menstrual product?";"Who may comment on this listing?"
"Who may upload photos for this menstrual product?";"Who may upload photos for this listing?"
"Who may create videos for this menstrual product?";"Who may create videos for this listing?"
"Select the networks, members of which should be able to see your menstrual product. (Press Ctrl and click to select multiple networks. You can also choose to make your menstrual product viewable to everyone.)";"Select the networks, members of which should be able to see your listing. (Press Ctrl and click to select multiple networks. You can also choose to make your listing viewable to everyone.)"
"Show this menstrual product in search results";"Show this listing in search results"
"Show this menstrual product on browse page and in various blocks.";"Show this menstrual product on browse page and in various blocks."
"SEPARATE_MENSTRUAL PRODUCT_TAGS_WITH_COMMAS";"Separate tags with commas."
"Your menstrual product has been successfully created. You can enhance your menstrual product from this Dashboard by creating other components.";"Your listing has been successfully created. You can enhance your listing from this Dashboard by creating other components."
"View Menstrual Product";"View Listing"
"View Menstrual Product &raquo;";"View Listing &raquo;"
"End menstrual product on a specific date. (Please select date by clicking on the calendar icon below.)";"End listing on a specific date. (Please select date by clicking on the calendar icon below.)"
"When should this menstrual product end?";"When should this listing end?"
"Note: your menstrual product will be expired in %1$s %2$s after an approval or it may be changed by admin.";"Note: your listing will be expired in %1$s %2$s after an approval or it may be changed by admin."
"All Menstrual Menstrual Products";"All Listings"
"Only Open Menstrual Menstrual Products";"Only Open Listings"
"Only Closed Menstrual Menstrual Products";"Only Closed Listings"
"Everyone's Menstrual Menstrual Products";"Everyone's Listings"
"Only My Friends' Menstrual Menstrual Products";"Only My Friends' Listings"
"Menstrual Menstrual Products I Like";"Listings I Like"
"Only Expired Menstrual Menstrual Products";"Only Expired Listings"
"Menstrual Menstrual Products Having";"Listings Having"
"Only Menstrual Menstrual Products With Photos";"Only Listings With Photos"
"Only Menstrual Product With Photos";"Only Listing With Photos"
"Edit the overview for your menstrual product using the editor below, and then click 'Save Overview' to save changes.";"Edit the overview for your listing using the editor below, and then click 'Save Overview' to save changes."
"DASHBOARD_MENSTRUAL PRODUCT_SAVE_OVERVIEW";"Save Overview"
"DASHBOARD_MENSTRUAL PRODUCT_EDIT_OVERVIEW";"Edit Overview"
"Edit Menstrual Product Overview";"Edit Listing Overview"
"Contact information will be displayed on your menstrual product profile.";"Contact information will be displayed on your menstrual product profile."
"ADD_DASHBOARD_MENSTRUAL PRODUCT_WHERE_TO_BUY_OPTION";"Add Where to Buy Option"
