"{item:$subject} commented on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} commented on {item:$owner}'s stroller1 listing {item:$object:$title}: {body:$body}"
"{item:$subject} replied to a comment on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} replied to a comment on {item:$owner}'s stroller1 listing {item:$object:$title}: {body:$body}"
"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option.";"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option."
"posted by";"posted by"
"Popular Tags";"Popular Tags"
"Popular Tags (%s)";"Popular Tags (%s)"
"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings.";"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings."
"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site.";"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_NEW_LISTTYPE_5";"Multiple Listing Types - When a new stroller1 is posted."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_NEW_LISTTYPE_5";"New stroller1"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_5";"Multiple Listing Types - When someone uploads a photo to stroller1."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_5";"Uploading a photo to stroller1"
"ADMIN_ACTIVITY_TYPE_VIDEO_SITEREVIEW_LISTTYPE_5";"Multiple Listing Types - When someone uploads a video to stroller1."
"_ACTIVITY_ACTIONTYPE_VIDEO_SITEREVIEW_LISTTYPE_5";"Uploading a video to stroller1"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_5";"Multiple Listing Types - When someone uploads a video to stroller1."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_5";"Uploading a video to stroller1"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_5";"Multiple Listing Types - When someone write a review on stroller1."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_5";"Writing a new stroller1 review"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_5";"Multiple Listing Types - When someone creates a new stroller1 topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_5";"Creating stroller1 discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_5";"Multiple Listing Types - When someone replies to stroller1 topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_5";"Replying to stroller1 discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_5";"Multiple Listing Types - When stroller1 Owner change their stroller1 profile photo as User."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_5";"When stroller1 Owner change their stroller1 profile photo as User"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_5";"Multiple Listing Types - When someone adds stroller1 in wishlist."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_5";"Adding stroller1 to wishlist"
"{item:$subject} posted a new stroller1 listing:";"{item:$subject} posted a new stroller1 listing:"
"{item:$subject} added {var:$count} photo(s) to the stroller1 listing: {item:$object:$title} {body:$body}";"{item:$subject} added {var:$count} photo(s) to the stroller1 listing: {item:$object:$title} {body:$body}"
"{item:$subject} posted a new discussion {item:$object:topic} in the stroller1 listing {itemParent:$object:sitereview}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the stroller1 listing {itemParent:$object:sitereview}: {body:$body}"
"{item:$subject} replied to discussion {item:$object:topic} in the stroller1 listing {itemParent:$object:sitereview_listing}: {body:$body}";"{item:$subject} replied to discussion {item:$object:topic} in the stroller1 listing {itemParent:$object:sitereview_listing}: {body:$body}"
"{item:$subject} changed the profile picture of the stroller1 listing {item:$object:$title}:";"{item:$subject} changed the profile picture of the stroller1 listing {item:$object:$title}:"
"{item:$subject} added a new video in the stroller1 listing {item:$object:$title}: {body:$body}";"{item:$subject} added a new video in the stroller1 listing {item:$object:$title}: {body:$body}"
"{item:$subject} added a new video in the stroller1 listing {item:$object}:";"{item:$subject} added a new video in the stroller1 listing {item:$object}:"
"{item:$subject} rated and wrote a review for the stroller1 listing {item:$object}:";"{item:$subject} rated and wrote a review for the stroller1 listing {item:$object}:"
"{item:$subject} posted a new stroller1 listing: {item:$object}.";"{item:$subject} posted a new stroller1 listing: {item:$object}."
"Edit Stroller1 Location";"Edit Listing Location"
"Edit the location of your stroller1 by clicking on 'Edit Stroller1 Location' below. You can accurately mark the position of your stroller1 on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position.";"Edit the location of your listing by clicking on 'Edit Listing Location' below. You can accurately mark the position of your listing on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position."
"You have not added a location for your stroller1. %1$sClick here%2$s to add a location for your stroller1.";"You have not added a location for your listing. %1$sClick here%2$s to add a location for your listing."
"Post New Stroller1";"Post New Listing"
"Compose your new stroller1 below, then click 'Submit' to publish the stroller1.";"Compose your new listing below, then click 'Submit' to publish the listing."
"Stroller1 Title";"Listing Title"
"Who may see this stroller1?";"Who may see this listing?"
"Who may comment on this stroller1?";"Who may comment on this listing?"
"Who may upload photos for this stroller1?";"Who may upload photos for this listing?"
"Who may create videos for this stroller1?";"Who may create videos for this listing?"
"Select the networks, members of which should be able to see your stroller1. (Press Ctrl and click to select multiple networks. You can also choose to make your stroller1 viewable to everyone.)";"Select the networks, members of which should be able to see your listing. (Press Ctrl and click to select multiple networks. You can also choose to make your listing viewable to everyone.)"
"Show this stroller1 in search results";"Show this listing in search results"
"Show this stroller1 on browse page and in various blocks.";"Show this stroller1 on browse page and in various blocks."
"SEPARATE_STROLLER1_TAGS_WITH_COMMAS";"Separate tags with commas."
"Your stroller1 has been successfully created. You can enhance your stroller1 from this Dashboard by creating other components.";"Your listing has been successfully created. You can enhance your listing from this Dashboard by creating other components."
"View Stroller1";"View Listing"
"View Stroller1 &raquo;";"View Listing &raquo;"
"End stroller1 on a specific date. (Please select date by clicking on the calendar icon below.)";"End listing on a specific date. (Please select date by clicking on the calendar icon below.)"
"When should this stroller1 end?";"When should this listing end?"
"Note: your stroller1 will be expired in %1$s %2$s after an approval or it may be changed by admin.";"Note: your listing will be expired in %1$s %2$s after an approval or it may be changed by admin."
"All Strollers1";"All Listings"
"Only Open Strollers1";"Only Open Listings"
"Only Closed Strollers1";"Only Closed Listings"
"Everyone's Strollers1";"Everyone's Listings"
"Only My Friends' Strollers1";"Only My Friends' Listings"
"Strollers1 I Like";"Listings I Like"
"Only Expired Strollers1";"Only Expired Listings"
"Strollers1 Having";"Listings Having"
"Only Strollers1 With Photos";"Only Listings With Photos"
"Only Stroller1 With Photos";"Only Listing With Photos"
"Edit the overview for your stroller1 using the editor below, and then click 'Save Overview' to save changes.";"Edit the overview for your listing using the editor below, and then click 'Save Overview' to save changes."
"DASHBOARD_STROLLER1_SAVE_OVERVIEW";"Save Overview"
"DASHBOARD_STROLLER1_EDIT_OVERVIEW";"Edit Overview"
"Edit Stroller1 Overview";"Edit Listing Overview"
"Contact information will be displayed on your stroller1 profile.";"Contact information will be displayed on your stroller1 profile."
"ADD_DASHBOARD_STROLLER1_WHERE_TO_BUY_OPTION";"Add Where to Buy Option"
"EDIT_DASHBOARD_STROLLER1_WHERE_TO_BUY_OPTION";"Edit Where to Buy"
"Add DASHBOARD_STROLLER1_WHERE_TO_BUY option for this stroller1 using the form below. Enter the name of the Store and other details where this stroller1 is available.";"Add Where to Buy option for this listing using the form below. Enter the name of the Store and other details where this listing is available."
"Select the online store for your stroller1 from available stores drop-down below.";"Select the online store for your listing from available stores drop-down below."
"Enter the URL of the Store's webpage where this stroller1 is available. (We recommend you to enter complete URL.)";"Enter the URL of the Store's webpage where this listing is available. (We recommend you to enter complete URL.)"
"Edit Stroller1 Style";"Edit Listing Style"
"Edit the CSS style of your stroller1 using the text area below, and then click 'Save Style' to save changes.";"Edit the CSS style of your listing using the text area below, and then click 'Save Style' to save changes."
"Add your own CSS code above to give your stroller1 a more personalized look.";"Add your own CSS code above to give your listing a more personalized look."
"Custom Advanced stroller1 Style";"Custom Advanced listing Style"
"Meta keywords are a great way to provide search engines with information about your stroller1 so that search engines populate your stroller1 in search results. Below, you can add meta keywords for this stroller1. (The tags entered by you for this stroller1 will also be added to the meta keywords.)";"Meta keywords are a great way to provide search engines with information about your stroller1 so that search engines populate your stroller1 in search results. Below, you can add meta keywords for this listing. (The tags entered by you for this listing will also be added to the meta keywords.)"
"Edit Stroller1 Info";"Edit Stroller1 Info"
"Edit the information of your stroller1 using the form below.";"Edit the information of your listing using the form below."
"Delete Stroller1?";"Delete Stroller1?"
"Are you sure that you want to delete the Stroller1 with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Listing with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."
