
"Sorry, this URL has been restricted by our automated system. Please choose a different URL.";"Sorry, this URL has been restricted by our automated system. Please choose a different URL."
"Sorry, this Channel Title has been restricted by our automated system. Please choose a different Title.";"Sorry, this Channel Title has been restricted by our automated system. Please choose a different Title."
"Channel has been deleted.";"Channel has been deleted."
"Your channel has been successfully created. You can enhance your channel from this Dashboard by creating other components.";"Your channel has been successfully created. You can enhance your channel from this Dashboard by creating other components."
"Your changes have been saved successfully.";"Your changes have been saved successfully."
"You have exceeded maximum channels creation limit. You are allowed to create maximum %s channels only.";"You have exceeded maximum channels creation limit. You are allowed to create maximum %s channels only."
"URL component should be atleast 3 characters long.";"URL component should be atleast 3 characters long."
"URL component should be maximum 255 characters long.";"URL component should be maximum 255 characters long."
"URL not available.";"URL not available."
"URL component can contain alphabets, numbers, underscores & dashes only.";"URL component can contain alphabets, numbers, underscores & dashes only."
"URL Available!";"URL Available!"
"We currently have problems with videos imported from ";"We currently have problems with videos imported from "
"We currently have problems with this video.";"We currently have problems with this video."
"Photo deleted";"Photo deleted"
"This title already exists.";"This title already exists."
"Playlist has been updated.";"Playlist has been updated."
"Playlist has been deleted.";"Playlist has been deleted."
"Video has been removed from playlist.";"Video has been removed from playlist."
"Post deleted.";"Post deleted."
"Video is added to playlist.";"Video is added to playlist."
"This video is already added to playlist.";"This video is already added to playlist."
"Video has been removed from playlist.";"Video has been removed from playlist."
"This video is already removed from playlist.";"This video is already removed from playlist."
"Subscribed successfully.";"Subscribed successfully."
"This channel is already subscribed.";"This channel is already subscribed."
"Unsubscribed successfully.";"Unsubscribed successfully."
"This channel is already unsubscribed.";"This channel is already unsubscribed."
"This channel is unsubscribed successfully.";"This channel is unsubscribed successfully."
"This channel is already unsubscribed.";"This channel is already unsubscribed."
"Video is added to watch later.";"Video is added to watch later."
"This video is already added to watch later.";"This video is already added to watch later."
"Video has been removed from watch later.";"Video has been removed from watch later."
"This video is already removed from watch later.";"This video is already removed from watch later."
"Video has been deleted.";"Video has been deleted."
"Your message has been sent successfully.";"Your message has been sent successfully."
"Please enter correct email address of the receiver(s).";"Please enter correct email address of the receiver(s)."
"Set as Channel Main Video";"Set as Channel Main Video"
"Videos has been successfully moved to %s";"Videos has been successfully moved to %s"
