How do I create a new Album and upload my Photos?|<p>To create an Album, please follow the steps below:<br>1. Click on &ldquo;<strong>Albums</strong>&rdquo; from the main navigation menu bar at the top of any page on this community.<br>2. Select &ldquo;<strong>Add New Photos</strong>&rdquo;.<br>3. Fill the basic details for your Album and click on &ldquo;<strong>Add Photos</strong>&rdquo; to select one or more photos from your computer. To select multiple photos at once, hold down the Control Key (Ctrl) on your computer.<br>4. When your upload is finished, click the &ldquo;<strong>Save Photos</strong>&rdquo; button below your photo list to save them to your album.</p>|Popular Features|Photos
How do I add new photos to an already existing album?|<p>To add new <strong>photos</strong> to an already existing album:<br>&nbsp;1. Click on &ldquo;<strong>Albums</strong>&rdquo; from the main navigation menu bar at the top of any page on this community. <br>&nbsp;2. Select &ldquo;<strong>Add</strong> <strong>New</strong> <strong>Photos</strong>&rdquo;.<br>&nbsp;3. Choose an Album for which you want to add new photos from the dropdown in the field &ldquo;Choose Album&rdquo;.<br>&nbsp;4. Click on &ldquo;<strong>Add</strong> <strong>Photos</strong>&rdquo; to select one or more photos from your hard-drive. To select multiple photos at once, hold down the Control Key (Ctrl) on your keyboard.<br>&nbsp;5. When your upload is finished, click the &ldquo;<strong>Save Photos</strong>&rdquo; button below your photo list to save them to your Album.</p>|Popular Features|Photos
How can I upload or edit my Profile Picture?|<p>To upload a Profile Photo or edit current Profile Photo:<br>1. Click on &ldquo;<strong>Edit My Profile</strong>&rdquo; from the quick links on your &ldquo;<strong>Homepage</strong>&rdquo; or your &ldquo;<strong>Profile Page</strong>&rdquo;.<br>2. Select &ldquo;<strong>Edit My Photo</strong>&rdquo;.<br>3. Click on &ldquo;<strong>Browse</strong>&rdquo; button and select a photo from your hard-drive.<br>4. Now, click on &ldquo;<strong>Save Photo</strong>&rdquo; to save your Profile Picture or &ldquo;<strong>remove photo</strong>&rdquo; to remove it.<br>5. Use &ldquo;<strong>Edit Thumbnail</strong>&rdquo; to edit the thumbnail of your Profile Picture.<br><br>Tip: You can also make any Photo your Profile Photo by simply going to any Photo and clicking on &ldquo;<strong>Make Profile Photo</strong>&rdquo; option available at the bottom of the Photo.</p>|Popular Features|Photos
Who all can see my Album?|<p>You can choose who all can see your Album while creating your Album, by choosing the appropriate option for the &ldquo;<strong>Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Settings</strong>&rdquo; link for your Album.</p>|Popular Features|Photos
Who all can comment on my Album?|<p>You can choose who all can comment on your Album while creating your Album, by choosing the appropriate option for the &ldquo;<strong>Comment</strong> <strong>Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit</strong> <strong>Settings</strong>&rdquo; link for your Album.</p>|Popular Features|Photos
Who may tag Photos in my Album?|<p>You can choose who all can tag Photos in your Album while creating your Album, by choosing the appropriate option for the &ldquo;<strong>Tagging</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit</strong> <strong>Settings</strong>&rdquo; link for your Album.</p>|Popular Features|Photos
How can I tag my friends in photos?|<p>To tag your friends, please follow the steps below:<br>1. Go to the photo and open it.<br>2. Click on &ldquo;<strong>Tag This Photo</strong>&rdquo;.<br>3. Start typing the name of your friend and select it from the auto-suggest dropdown.<br>4. Now, click on &ldquo;<strong>Save</strong>&rdquo;.</p>|Popular Features|Photos
I have been tagged in a photo. How can I delete my tag from the photo?|<p>To delete your tag from a photo, use the <strong>delete</strong> option, placed next to your name (linked to your profile).</p>|Popular Features|Photos
I have tagged someone in a photo. How can I delete that tag from the photo?|<p>To delete a tag that you have made in a photo, use the <strong>delete</strong> option, placed next to that tagged name.</p>|Popular Features|Photos
 There is a "Wall Photos" album in my albums. What is this album?|<p>When you post a photo with an update post for the first time from your activity feed, a special album: "<strong>Wall</strong> <strong>Photos</strong>" is created automatically for you. Then onwards, photos from the update posts made by you from the status update box are added to this album.</p>|Popular Features|Photos
What kind of photos are acceptable on this site (and what are not)?|<p>You can upload pretty much anything that is legal, decent and honest.&nbsp;We do not allow nudity of any kind and sexually explicit photos are also banned.&nbsp; Users who break rules will get a warning and persistent offenders will have their membership terminated, so please be good.</p>|Popular Features|Photos
I have uploaded a new profile photo but I can only see the old one.|<p>This is a caching problem. Instead of being made up of static web pages that don't change very often, our pages are actually created on the fly, every time they are requested.&nbsp; The data they contain is constantly changing too.<br>It's most likely that your web browser is displaying web pages from the cache on your computer which is why you are seeing old information. Clearing the cache of your web browser and refreshing the page will solve your problem. &nbsp;<br>If your Browser is Internet Explorer, you'll find the settings for this in the &ldquo;<strong>Tools</strong>&rdquo; drop-down menu. In Firefox, you will find the settings for this in the &ldquo;<strong>Tools</strong>&rdquo; &gt; &ldquo;<strong>Clear Recent History</strong>&rdquo; menu. In Chrome, you will find the settings for this in the &ldquo;<strong>Tools</strong>&rdquo; &gt; &ldquo;<strong>History</strong>&rdquo; menu.</p>|Popular Features|Photos
My problem is not listed above. What should I do now?|<p>If your problem is not listed above, then please contact us by filling the &ldquo;<strong>Contact Us</strong>&rdquo; form using the &ldquo;<strong>Contact</strong>&rdquo; link available in the footer of our site. Let us know your problem and we will try to fix it as soon as possible.</p>|Popular Features|Photos
