How do I control my profile from being viewed by others? How can I choose the privacy for my profile?|<p>By default, your privacy settings allow everyone to view your profile. If you&rsquo;d like to modify who can view your profile:<br>1. Click on &ldquo;<strong>SETTINGS</strong>&rdquo; link at the top right corner from any page of this community.<br>2. Go to &ldquo;<strong>Privacy</strong>&rdquo; section.<br>3. Select privacy for your profile using the &ldquo;<strong>Profile</strong> <strong>Privacy</strong>&rdquo; field.</p>|My Community Basics|Manage Your Account
When I am trying to view a content, I am being redirected to a Private Page. Why is this happening?|<p>When you try to view a content, if you are being redirected to a Private Page, then this would be because you might not be having the appropriate permissions to view that content. The content owner might have chosen a view privacy for that content which would not have been satisfied by you.</p>|My Community Basics|Manage Your Account
How can I edit my profile?|<p>To edit your profile, follow the steps below:<br>1. Go to your <strong>Profile</strong> using &ldquo;<strong>My Profile</strong>&rdquo; link at the top right corner from any page of this community.<br>2. Click on Edit My Profile option from the left panel of your Profile page.<br>3. Edit your profile and click on &ldquo;<strong>Save</strong>&rdquo; button to save your changes.</p>|My Community Basics|Manage Your Account
How can I edit my Profile photo?|<p>To edit your photo, please follow the steps below:<br>1. Go to your <strong>Homepage</strong>.<br>2. Click on the &ldquo;<strong>Edit My Profile</strong>&rdquo; available to you in the quick-links in the left side.<br>3. Go to the &ldquo;<strong>Edit My Photo</strong>&rdquo; section.<br>4. Click on the &ldquo;<strong>Browse</strong>&rdquo; button and select your Profile photo from your hard-drive.<br>5. Edit Thumbnail of for your Profile photo.<br>6. When you are done, click on &ldquo;<strong>Save photo</strong>&rdquo; button to save your new Profile photo.</p>|My Community Basics|Manage Your Account
I am automatically added to a network. How can I leave it?|<p>&nbsp;To leave a network:<br>1. Click on &ldquo;<strong>SETTINGS</strong>&rdquo; link at the top right corner from any page of this community.<br>2. Select &ldquo;<strong>Networks</strong>&rdquo; option from the &ldquo;<strong>My Settings</strong>&rdquo; navigation menu bar at the top of the settings page. <br>3. From the My Networks block in the right side of the page, leave the network, you no longer want to be connected to.</p>|My Community Basics|Manage Your Account
I want my content to be specially marked as Featured and Sponsored on this site. How can this be done?|<p>&nbsp;If you want your content to be specially marked as Featured and Sponsored on our site, then please contact us by filling up your requirements in the &ldquo;<strong>Contact Us</strong>&rdquo; form by using &lsquo;<strong>Contact</strong>&rsquo; link available in the footer of the site. Your request will be considered by our site administrators.</p>|My Community Basics|Explore Popular Features
I want to invite my friends on this community. What should I do?|<p>To invite your friends to this community, please follow the steps below:<br>1. Go to your <strong>Homepage</strong>. <br>2. Click &ldquo;<strong>Invite</strong>&rdquo; from the main navigation menu bar at the top of any page on this community or click on &ldquo;<strong>Invite Your Friends</strong>&rdquo; from the left side of your Homepage.<br>3. Enter up to 10 email addresses separated by commas in the &ldquo;Recipients&rdquo; box.<br>4. Enter your custom message and click on &ldquo;<strong>Send Invites</strong>&rdquo; button to send your invitations.<br>If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in.</p>|My Community Basics|Explore Popular Features
I have forgotten my Password. How can I retrieve it?|<p>&nbsp;To retrieve your Password, please follow the steps below:<br>1. Click on &ldquo;<strong>SIGN IN</strong>&rdquo; from the top right corner of the page.<br>2. Now, click on &ldquo;<strong>Forgot Password?</strong>&rdquo; link.<br>3. Enter your email address in the &ldquo;<strong>Email Address</strong>&rdquo; field.<br>4. Click on &ldquo;<strong>Send Email</strong>&rdquo; button.<br>Now, you will receive an email with instructions on how to reset your password.</p>|Something is Not Working|Get Help Logging In
How can I change my Password?|<p>We suggest that you change your password every now and then, to help keep your membership account safe from prying eyes. To do that, please follow the steps below:<br>1. Click on &ldquo;<strong>SETTINGS</strong>&rdquo; from the main navigation menu bar at the top of any page on this community.<br>2. Go to the &ldquo;<strong>Change</strong> <strong>Password</strong>&rdquo; section.<br>3. Enter your Password, in order to prove you are the account holder and then enter your new password twice, to make sure you typed it right. <br>4. When you are done, click on &ldquo;<strong>Change</strong> <strong>Password</strong>&rdquo; button to change your password..<br><br>Tip: Try to make your password at least eight characters long and include some numbers and special characters (like asterisks or exclamation marks) as well as alphabetic characters.</p>|Something is Not Working|Get Help Logging In
I had joined this community with my Facebook account using the f connect button. How can I reset / retrieve my password for my site account so that I can sign in normally using my email and password?|<p>To reset / retrieve your password, please follow the steps below:<br>1. Click on &ldquo;<strong>SIGN</strong> <strong>IN</strong>&rdquo; from the top right corner of the page.<br>2. Now, click on &ldquo;<strong>Forgot</strong> <strong>Password?</strong>&rdquo; link.<br>3. Enter your email address in the &ldquo;<strong>Email</strong> <strong>Address</strong>&rdquo; field.<br>4. Click on &ldquo;<strong>Send</strong> <strong>Email</strong>&rdquo; button.<br>Now, you will receive an email with instructions on how to reset your password. In addition to your Facebook account, you will now also be able to login on this site with your email and password.</p>|Something is Not Working|Get Help Logging In
