How are Listings useful on this Community?|<p>Our website provides the Listings feature to enable you to showcase and save your various listing items like: <strong>products, places, books, pets, recipes, classifieds, services, archives, offerings, etc. You can create rich, detailed listings, with high interactivity</strong>, using multiple tools for this. While adding your listing, choose the appropriate category and sub-category for your listing depending on your requirement.</p>|Popular Features|Listings
How can I create Listing?|<p>To create a listing, please follow the steps below:<br>1. Click &ldquo;<strong>Listings</strong>&rdquo; from the main navigation menu bar at the top of any page on this community.<br>2. Go to &ldquo;<strong>Post a New Listing</strong>&rdquo; section.<br>3. Fill the basic details for your Listing, and add a photo for it.<br>4. When you are done, click on &ldquo;<strong>Post Listing</strong>&rdquo; button.</p>|Popular Features|Listings
How can I add Photos to my Listing?|<p>You can add Photos to your Listing in one of the following ways:<br>1. To upload Photos, please follow the steps below:<br> a. Go to the Listing Profile.&nbsp;&nbsp; &nbsp;<br>b. Click &ldquo;<strong>Photos</strong>&rdquo; tab. You might have to click on the &ldquo;<strong>More</strong>&rdquo; tab to expand the menu bar to see &ldquo;<strong>Photos</strong>&rdquo;.<br>c. Click on <strong>&ldquo;Add Photo</strong>s&rdquo; link from the top left corner of the &ldquo;<strong>Photos</strong>&rdquo; tab to add a photo.<br>d. Click the &ldquo;<strong>Add Photos</strong>&rdquo; link to select the photos from your hard-drive.<br>e. Once progress bar is completed, click on &ldquo;<strong>Save Photos</strong>&rdquo; to upload photos to your Listing.<br><br>2. From the &ldquo;<strong>My Listings</strong>&rdquo; section, click on the &ldquo;<strong>Add Photos</strong>&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;e&rsquo; in case 1 above.</p>|Popular Features|Listings
How can I view my listings?|<p>To view all your Listings, please follow the steps below:<br>1. Click on &ldquo;<strong>Listings</strong>&rdquo; from the main navigation menu bar at the top of any page on this community.<br>2. Go to &ldquo;<strong>My Listings</strong>&rdquo; section.<br>3. This page will list all the Listings created by you.</p>|Popular Features|Listings
How can I review a Listing?|<p>To review a Listing, please follow the steps below:<br>1. Go to the Listing for which you want to add reviews.<br>2. Go to the &ldquo;<strong>Reviews</strong>&rdquo; tab for that Listing.<br>3. Click on &ldquo;<strong>Post a Review</strong>&rdquo; to write your review.<br>4. When you are completed with the Review, click on &ldquo;<strong>Post Review</strong>&rdquo; button.</p>|Popular Features|Listings
Who all can see my Listing?|<p>You can choose who all can see your Listing while creating your Listing, by choosing the appropriate option for the &ldquo;<strong>Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Listing</strong>&rdquo; link for your Listing.</p>|Popular Features|Listings
Who all can comment on my Listing?|<p>You can choose who all can comment your Listing while creating your Listing, by choosing the appropriate option for the &ldquo;<strong>Comment Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Listing</strong>&rdquo; link for your Listing.</p>|Popular Features|Listings
Who all can add Photos to my Listing?|<p>You can choose who all can add Photos to your Listing while creating your Listing, by choosing the appropriate option for the &ldquo;<strong>Photo Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Listing</strong>&rdquo; link for your Listing.</p>|Popular Features|Listings
Who all can add Videos to my Listing?|<p>You can choose who all can Videos to your Listing while creating your Listing, by choosing the appropriate option for the &ldquo;<strong>Video Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Listing</strong>&rdquo; link for your Listing.</p>|Popular Features|Listings
My problem is not listed above. What should I do now?|<p>If your problem is not listed above, then please contact us by filling the &ldquo;<strong>Contact Us</strong>&rdquo; form using the &ldquo;<strong>Contact</strong>&rdquo; link available in the footer of our site. Let us know your problem and we will try to fix it as soon as possible.</p>|Popular Features|Listings
