What is a business?|<p>A business enables you to showcase your offerings, businesses (hotels, stores, restaurants, etc), properties, organization, personalities, products, profiles, services, books, pets, etc by choosing the appropriate category. It enables you to have an effective online presence. You can interact with your fans and visitors through your business. You can also enhance your business by adding various Apps to it and get new fans virally by inviting your friends and your contacts to your business and much more!<br><br>You can create a business using your personal account on this community and can also add other people to administer your business.</p>|Business Solutions|business Basics
How can I create a business on this community?|<p>How can I create a business on this community?<br>Ans: To create a business, please follow the steps below:<br>1. Click on &ldquo;businesses&rdquo; from the main navigation menu bar at the top of any business on this community.<br>2. Go to &ldquo;Create New business&rdquo; section.<br>3. Choose a suitable &ldquo;Package&rdquo; for your business and click on &ldquo;Create a business&rdquo; button placed alongside the chosen Package.<br>4. Fill the basic details for your business.<br>5. When you are done, click on &ldquo;Create&rdquo; button to create your business.<br>6. Configure and enhance your business from its Dashboard.<br>7. Add content like Photos, Videos, Documents, Offers, etc to enhance your business.<br><br>Tip: Our site administrators control Packages, if you are not asked to choose a Package while creating your business, then they might have currently disabled this functionality.</p>|Business Solutions|business Basics
What do the statuses “Published” and “Saved As Draft” mean?|<p>If you have completed configuring your business and want it to be available for public then select its status as: &ldquo;Published&rdquo;, otherwise, if you would like to save current configurations of your business, and continue configuring it later on, and would not like your business to be visible to public, then choose status as: &ldquo;Saved As Draft&rdquo;. Once you save the business as &ldquo;Published&rdquo;, it cannot be switched back to draft mode.</p>|Business Solutions|business Basics
Can I add other members as administrators to my business (business Admins)?|<p>Yes, you can add other members to be admins of your business. To do so, go to the &ldquo;Manage Admins&rdquo; section from the business Dashboard. From here, you can add any number of Admins for your business. These admins will have all the permissions as you currently have to manage various aspects of your business. You can also choose Featured Admins for your business from the &ldquo;Featured Admins&rdquo; section in business Dashboard. These Featured Admins are shown on business Profile in a separate block.<br>You can choose to have your business colleagues, managers, etc as admins for your business, and have them assist you in keeping your business active and updated.</p>|Business Solutions|business Basics
What all privileges do Admins of a business have?|<p>business Admins will have all the permissions for your business as you currently have, to manage various aspects of your business like editing it, viewing reports, editing style, adding new content, updating information, etc.</p>|Business Solutions|business Basics
When should I have a Featured Admin for my business?|<p>When you want to display admins of your business on your business Profile, then you can make some or all the admins as Featured Admins. An example usage of making Featured Admin could be highlighting the Manager of your Store on your business Profile in a block.</p>|Business Solutions|business Basics
What is the purpose of “Save to foursquare” button? How can it be useful for my business?|<p>Foursquare offers free tools to help you attract new customers and to keep the existing customers engaged. With the help of &ldquo;Save to foursquare&rdquo; button on your business, visitors can easily get foursquare reminders from you when they are near the places that you suggest. This button is very easy to setup. When one of your business visitors clicks on the &ldquo;Save to foursquare&rdquo; button on your business, your business is saved on their to-do list in foursquare. Then, when they&rsquo;re out and about, foursquare Radar will buzz on their phone when they&rsquo;re close to it.</p>|Business Solutions|business Basics
The Map for my business is not showing its exact Location. How do I point the correct Location on the Map?|<p>While creating your business, or editing its information, you can specify its location. You can then accurately point out the exact location of your business on map using a drag-and-drop marker from the &ldquo;Location&rdquo; section of your business Dashboard.</p>|Business Solutions|business Basics
Can I Link my business to other businesses?|<p>Yes, you can Link your business to other businesses available on this website. You can Link your business to another business using the &ldquo;Link To Your business&rdquo; option available on the other business Profile. Any number of businesses can be linked to a business. The other businesses linked to your business will be shown on your business Profile in a separate &ldquo;Linked businesses&rdquo; block. This functionality for linking businesses is very useful for connecting other businesses related to your business. An example usage of Linking businesses could be a movie theater business linking itself to the businesses of movies being played over there.</p>|Business Solutions|business Basics
Can I close my business?|<p>Yes, you can close your business on this website by using the &ldquo;Close business&rdquo; option on the business Profile or by visiting &ldquo;My businesses&rdquo; and using the corresponding &ldquo;Close business&rdquo; link for your business. Users will be able to browse your closed business. However, if you want to permanently make your business unavailable to public, you can delete your business anytime.<br><br>You can also reopen your business by using &ldquo;Open business&rdquo; option available on the business Profile or by visiting &ldquo;My businesses&rdquo;.</p>|Business Solutions|business Basics
What are Featured businesses?|<p>Featured businesses are businesses which are specially marked as &ldquo;Featured&rdquo;. Such businesses are more highlighted than others and thus gain more visibility. Featured businesses appear in the &ldquo;Featured businesses&rdquo; slideshow on businesses Home. On &ldquo;Browse businesses&rdquo; and in search results, they are marked with a &ldquo;Featured&rdquo; marker and their entries have a distinct background color. Their business Profiles also have a marker. Featured businesses appear in a &ldquo;Featured&rdquo; tab on businesses Home and the search form for businesses also has a quick filter for seeing Featured businesses. In all maps, markers for Featured businesses appear with jumping animation effect.</p>|Business Solutions|business Basics
How can my business be made Featured?|<p>businesses can be made Featured only by our site administrators. There could also be certain Packages for businesses on our website, businesses of which would automatically be made Featured. You can choose such a Package for your business during business creation, or upgrade your business to such a Package. The availability of such a Package is conditional.</p>|Business Solutions|business Basics
What are Sponsored businesses?|<p>Sponsored businesses are businesses which are specially marked as &ldquo;Sponsored&rdquo;. Such businesses are more highlighted than others and thus gain more visibility. Sponsored businesses appear in the &ldquo;Sponsored businesses&rdquo; carousel on businesses Home. On &ldquo;Browse businesses&rdquo; and in search results, they are marked with a &ldquo;Sponsored&rdquo; marker. Their business Profiles also have a marker. Sponsored businesses appear in a &ldquo;Sponsored&rdquo; tab on businesses Home.</p>|Business Solutions|business Basics
How can my business be made Sponsored?|<p>businesses can be made Sponsored only by our site administrators. There could also be certain Packages for businesses on our website, businesses of which would automatically be made Sponsored. You can choose such a Package for your business during business creation, or upgrade your business to such a Package. The availability of such a Package is conditional.</p>|Business Solutions|business Basics
How can I update all my fans in one go?|<p>The &ldquo;Marketing&rdquo; section of your business Dashboard provides multiple tools for marketing your business, and to expand your reach. You can easily send updates to people who have Liked your business in one go by using the &ldquo;Send an Update&rdquo; option available in the &ldquo;Marketing&rdquo; section.</p>|Business Solutions|business Basics
Can I change the order of the tabs and blocks on my business Profile?|<p>Yes, you can change the order of the tabs and blocks on your business Profile from the &ldquo;Edit Layout&rdquo; section of your business Dashboard. From there, you can move the widget blocks vertically up and down to change their ordering. You can also rename some blocks according to your choice. Some blocks might be &ldquo;blocked&rdquo; and would thus not be movable. This feature enables you to highly customize your business, and allows you to give more prominence to that content for your business which you feel has more relevance.<br>This setting is also monitored by our site administrators. You will not be able to change the ordering of tabs / blocks, if they have disabled the corresponding settings.</p>|Business Solutions|business Basics
How can visitors to my business share it with others?|<p>By using the &ldquo;Share business&rdquo; link on your business Profile, visitors to your business can share it with others on this website. Whenever a visitor Likes your business by clicking on the Facebook Like Button, a feed gets published on the user&rsquo;s Facebook wall for this action, thus sharing your business with their Facebook network. There are also numerous Social Sharing buttons available on your business Profile using which your business can be shared across multiple websites like Facebook, Twitter, Pinterest, Google+, etc.</p>|Business Solutions|business Basics
How can I, or other people suggest my business to their friends?|<p>Whenever you create a business, a Suggestions popup will be shown to you, enabling you to selectively suggest your business to friends. You can select your desired friends from this popup and send suggestions to them for your business. You and other visitors to your business can also suggest your business to friends any time by using the &ldquo;Suggest to Friends&rdquo; link available in the left quick links on your business Profile. While sharing enables users to share your business with all their friends, suggestions enable suggesting your business to selected friends.</p>|Business Solutions|business Basics
What are Packages?|<p>The features available to businesses depend on the Package associated with them. Packages for businesses vary in terms of the features available to their businesses, their price, duration, Apps available, etc. Packages are listed in Tabular form in the first step of business creation. You can compare various Packages on the basis of the features they offer and their price. Before creating your business, you should choose a package which best matches the requirements for your business. Availability of Packages and their configurations are conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Packages
How can I select the best Package for my business?|<p>You can select a Package that best matches your requirements by comparing different Packages available to you in the first step of business creation. Packages can be compared on the basis of various features available to their businesses, their price, available Apps, billing cycle and duration. You can change your business&rsquo;s Package anytime from the business Dashboard.</p>|Business Solutions|Packages
How can I change the Package for my business?|<p>To change the Package for your business, go to the &ldquo;Packages&rdquo; section of your business Dashboard. From &ldquo;Other available Packages" sub-section, you can select a new package for your business.<br>Availability of Packages and their configurations are conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Packages
Can I create a Package for my business?|<p>No, you cannot create a Package for your business. You should choose a Package for your business from amongst the ones available to you. To create your business, select the best Package from the available list of Packages.</p>|Business Solutions|Packages
How do I set up Vanity URL for my business?|<p>You can set a Vanity URL for your business by entering a valid URL component / username for it in the &ldquo;URL&rdquo; field while business creation. You can also check for the URL availability by clicking on &ldquo;Check Availability&rdquo; button.<br>Based on the URL component chosen by you, the short URL will be automatically assigned to your business, after your business gets the minimum number of likes, as set by our administrators.<br>In case your vanity URL matches one of the site&rsquo;s restricted URLs, then the short URL will not be assigned even after your business reaches the minimum number of likes. In this case, depending on the URL component mentioned by you, our administrators may assign a related short URL to your business.</p>|Business Solutions|Vanity URLs
What are restricted URLs?|<p>Some URLs are internally used by our website and thus, are not claimable as short URLs for businesses. So, the system restricts you from selecting such URLs for your businesses. Also, we suggest you to enter a&nbsp; valid URL component for your business which does not include special characters (like ".", &ldquo;,&rdquo;, etc) in it and is similar to your business&rsquo;s Title.</p>|Business Solutions|Vanity URLs
How are Vanity URLs helpful for my business?|<p>Customized Vanity URLs for your business enable URL of your business to be made short and more human readable. Such short URLs are easy to identify and share by your potential fans and others because of their similarity to your business&rsquo;s / business&rsquo;s / organization&rsquo;s name. Thus, Vanity URLs also make it easier for you to direct others to your business.</p>|Business Solutions|Vanity URLs
How should I choose a Vanity URL for my business?|<p>The URL component for the Vanity URL of your business, should be indicative of the Title of your business or closest possible to the name of your business / organization. Vanity URLs can contain alphabets, numbers, underscores and dashes only. Its length should be in the range of 3-255 characters.</p>|Business Solutions|Vanity URLs
I have chosen a Vanity URL for my business, but its URL does not get shortened. Why is it so?|<p>Our site administrators might have placed a limit on the number of Likes that your business should have for enabling of short URL for it. Once your business exceeds this limit, the URL of your business will be shortened automatically.</p>|Business Solutions|Vanity URLs
What are business Insights?|<p>business Insights provide you Tabular and Graphical statistics for your business. By analysing your business metrics which include views, likes, comments and active users on your business, you can easily figure out the growth of your business.</p>|Business Solutions|Insights
How can I generate reports for my business Insights?|<p>To generate reports select &ldquo;Reports&rdquo; from your business&rsquo;s &lsquo;Dashboard&rsquo;. Select the &lsquo;Time Summary&rsquo; and &lsquo;Report Format&rsquo; and click on &lsquo;Generate Report&rsquo; to view report as &lsquo;Web business&rsquo; or export as an &lsquo;Excel&rsquo; file to be downloaded to your hard-drive.</p>|Business Solutions|Insights
Can I get an emails for my business Insights?|<p>Yes, you can receive periodic emails with insights of your business. You can choose to receive business Insight emails by enabling the &ldquo;Periodic statistical insights of my businesses&rdquo; option under &ldquo;Directory / businesses&rdquo; field in the &ldquo;Notifications&rdquo; section of your &ldquo;My Settings&rdquo; area. The availability of this setting is conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Insights
I have noticed that a business has been created on this site for my business / organization, and that someone else owns the business. How can I Claim a business?|<p>There are 2 ways in which you can place your Claim for a business on this site. Depending on the conditional settings chosen by our administrators, you will see &ldquo;Claim this business&rdquo; link on some business Profiles. You can also state your Claim for a business by going to the &ldquo;Claim a business&rdquo; section from the business navigation menu bar, and filling the appropriate details.<br>Your claim request will be processed by our site administrators and you will be made the owner of that business, if you are found to be the rightful owner.</p>|Business Solutions|Claim a business
Why is the “Claim this business” link not visible some businesses?|<p>The availability of &ldquo;Claim this business&rdquo; link on business Profiles is conditional depending on the settings chosen by our site administrator. If you do not see this link on a business, and still want to claim it, you can do so by going to the &ldquo;Claim a business&rdquo; section from the business navigation menu bar, and filling the appropriate details.</p>|Business Solutions|Claim a business
My problem is not listed here. What should I do now?|<p>If your problem is not listed here, then please contact us by filling the &ldquo;<strong>Contact Us</strong>&rdquo; form using the &ldquo;<strong>Contact</strong>&rdquo; link available in the footer of our site. Let us know your problem and we will try to fix it as soon as possible.</p>|Business Solutions|business Basics
