How can Documents be useful for my business?|<p>Documents added to a business are showcased on the business&rsquo;s Profile in its Documents tab / section. Documents can be used by businesses for a variety of purposes like displaying restaurant menus, property designs, work portfolios, presentations, tutorials, reports, books, etc. Visitors to your business will be able to view, share, print, download documents, and also comment on them.</p>|Business Solutions|Documents
In which all formats can I upload documents for my business?|<p>You can upload documents on your business in 24 popular document formats (like: doc and docx for text documents, ppt and pptx for powerpoint presentations, xls and xlsx for spreadsheet presentations.) and many more.</p>|Business Solutions|Documents
How can I upload “Documents” on my business?|<p>You can add a Document to your business in one of the following ways:<br>1. To upload a Document, please follow the steps below:<br> a. Go to the business Profile.&nbsp; &nbsp;<br>b. Click &ldquo;Documents&rdquo; tab on the business Profile. You might have to click on the &ldquo;More&rdquo; tab to expand the menu bar to see &ldquo;Documents&rdquo;.<br>c. Click on &ldquo;Add a Document&rdquo; link from the top left corner of the &ldquo;Documents&rdquo; tab to add a document.<br>d. Fill up the form to add a document.<br>e. Browse and choose a file for your document of allowed file types (like pdf, txt, etc.).<br>f. Click on &ldquo;Submit&rdquo;, to add a document to your business.<br><br>2. From the &ldquo;Apps&rdquo; section of your business Dashboard, click on the &ldquo;Add a Document&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;f&rsquo; as in case 1 above.</p>|Business Solutions|Documents
When I uploaded a document a message, “Document  format conversion in progress” is shown. What does this mean and what should I do?|<p>After your document is uploaded, its format is converted to a web browser friendly format. Format conversion for the document takes some time. During this time, the message: &ldquo;Document&nbsp; format conversion in progress&rdquo; appears on the main business document. Once document format conversion is completed, the message goes away and the document can be viewed in the browser.</p>|Business Solutions|Documents
The format conversion for the document file uploaded by me has failed. What should I do?|<p>If the format conversion for the document file uploaded by you fails, then you should do one of the below things:<br>1) Edit the document to upload a new file.<br>2) Delete the document entry and create a completely new document entry.</p>|Business Solutions|Documents
What are Sponsored business Documents? How can Documents created on my business be made Sponsored?|<p>Sponsored business Documents are those Documents which have been created for Paid businesses. These Sponsored Documents will appear in the &ldquo;Sponsored Documents&rdquo; block in the &ldquo;Documents&rdquo; section under business navigation. On &ldquo;Browse Documents&rdquo; for business Documents and in search results, they are marked with a &ldquo;Sponsored&rdquo; marker. The search form for business Documents also has a quick filter for seeing Sponsored Documents.<br>If your business is created under a Paid Package, then the Documents created for it would automatically be made Sponsored. The availability of Paid business Packages on our site is conditional depending on the settings configured by our site administrators.</p>|Business Solutions|Documents
What are Featured business Documents? Who can mark Documents for businesses as Featured?|<p>Featured business Documents are documents of businesses which are specially marked as &ldquo;Featured&rdquo;. Such documents are more highlighted than others and thus gain more visibility. Featured business Documents appear in the &ldquo;Featured Documents&rdquo; slideshow in the &ldquo;Documents&rdquo; section under business navigation. On &ldquo;Browse Documents&rdquo; for business Documents and in search results, they are marked with a &ldquo;Featured&rdquo; marker. The search form for business Documents also has a quick filter for seeing Featured Documents.<br>business Documents can be made Featured only by our site administrators.</p>|Business Solutions|Documents
What are Highlighted business Documents? Who can mark Documents for businesses as Highlighted?|<p>From amongst the documents that a business would have on this site, the business Admins will be able to choose some documents as &ldquo;Highlighted&rdquo;. In the &ldquo;Documents&rdquo; tab of a business, the Highlighted Documents appear in an attractive Carousel on the top. Such documents also appear on top in the listing of documents in the &ldquo;Documents&rdquo; tab of the business. Over here, users will also be able to quickly filter the documents to see the Highlighted Documents of the business.<br>business Admins can mark selected documents of their business as &ldquo;Highlighted&rdquo; by using the &ldquo;Make Highlighted&rdquo; option in the listing of their business Documents.</p>|Business Solutions|Documents
I want to search for a specific business Document. How can I do that?|<p>You can search for a business Document using the detailed search box available in the &ldquo;Documents&rdquo; section under business navigation.</p>|Business Solutions|Documents
Who all can create Documents on my business?|<p>You can choose who all can create Documents for your business while creating your business, by choosing the appropriate option for the &ldquo;Documents Creation Privacy&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;Edit business Details&rdquo; link for your business.</p>|Business Solutions|Documents
I have a business on this site. However, the Documents feature is not available for my business. What could be the reason?|<p>The reason why Documents feature is not available for your business could be that, you might have chosen a Package for your business for which the Documents App is not available. In this case, you can see if choosing a different Package with the Documents App suits you. You can change the Package for your business from the &ldquo;Packages&rdquo; section of your business Dashboard.<br>Availability of Packages for businesses, and their features are conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Documents
