What are the things I should do before starting my project?|<p>You should follow below steps before starting your project:<br>a) Make a detailed budget of your costs required to bring your idea to life. Use this to set your project’s funding goal.<br>b) Think thoroughly about what rewards to offer to your project’s backers.<br>c) Have a plan to market your project so that it can reach to maximum people.<br>d) Be active before launching your project till it reaches it’s funding goal amount.<br></p>|Crowdfunding:Projects|FAQs for Project Owner
What are the various steps to create a project on this website?|<p>a) Click on ‘Start a Project’ button or link.<br>b) Select the package with the feature set you need for your project.<br>c) Fill the required details in the project creation form which you have gathered before starting this process.<br>d) Go to dashboard of your project to compile overview, to configure payment gateways, to create various rewards, to add videos / photos, to set main photo / video for your project etc.</p>|Crowdfunding:Projects|FAQs for Project Owner
What should I consider while setting up funding goal for my project?|<p>Your funding goal should be the minimum amount of funds you need to complete your project along with make and ship of rewards.<br>Make a list of all the materials, resources, and expenses you'll need to complete your project, and the estimated costs for each. <br>Share a breakdown of this budget in your project description to show backers you've thought things through.</p>|Crowdfunding:Projects|FAQs for Project Owner
What are the different payment gateways which I can enable for my project’s backers?|<p>You can configure below payment gateways if they are enabled by the site admin:<br>a) Stripe<br>c) PayPal Adaptive<br>d) Mangopay<br>b) PayPal</p>|Crowdfunding:Projects|FAQs for Project Owner
What information should I share about my project on its profile page?|<p>After visiting your project page backers should have a clear sense of:<br>a) What is your project as all about.<br>b) How you will bring your project to life.<br>c) How the funds collected will be used.<br>d) The identities of the people on your team (if you have one).<br><br>Also, your project page should tell your story and include an eye-catching project image or video, and some attractive rewards.<br>The more information you share, the more you will earn your backers’ trust.</p>|Crowdfunding:Projects|FAQs for Project Owner
How do I include images or other media in my project overview?|<p>You can include photos, links, videos etc. in your project overview via TinyMCE editor. TinyMCE offers HTML formatting tools, like bold, italic, underline, ordered and unordered lists, different types of alignments, in-line placement of images and videos, etc. It allows users to edit HTML documents online. The different options can be configured at the time of integration with a project, which improves the flexibility of a project.</p>|Crowdfunding:Projects|FAQs for Project Owner
What are image specifications for project pages?|<p>Your project image size should be 680x1400 pixels. Recommended file types are: JPG, JPEG, PNG, or GIF.</p>|Crowdfunding:Projects|FAQs for Project Owner
What does estimated delivery date mean?|<p>The estimated delivery date for a reward is the date you expect to deliver that reward to backers. If you're offering more than one thing in a single reward tier, set your estimated delivery date to when you expect everything in the reward tier to be delivered. <br>If you're not sure what the estimated delivery date is for a reward, take some time out to create a timeline for your project so that you have a good sense of when you'll complete it. Choose a delivery date that you feel confident about and will be working towards.</p>|Crowdfunding:Projects|FAQs for Project Owner
What can be offered as a reward?|<p>Rewards are generally items produced by the project itself — a copy of the album, a print from the show, a limited edition of the comic, naming characters after backers, personal phone calls etc.</p>|Crowdfunding:Projects|FAQs for Project Owner
Is there a way to limit the quantity of a reward?|<p>Yes, there is a way to limit the quantity of a reward. You can do so while creating the reward, select the ‘Limit Quantity’ checkbox and enter the limit for backers who can choose this reward while backing your project.</p>|Crowdfunding:Projects|FAQs for Project Owner
How do I charge shipping on my rewards?|<p>You can charge shipping cost for rewards selected by backers of certain places. To do so choose the location where you want to ship your reward and add the shipping charges in the textbox appearing along with it. This shipping cost will be added to the amount set for that reward when a backer selects the reward to fund your project.</p>|Crowdfunding:Projects|FAQs for Project Owner
I am unable to edit my Project. What might be the reason behind it?|<p>You are unable to edit your project because of possible below reasons:<br>1. Published Project with at least 1 Backer: When a project is in draft mode, it is not finalized so all the details related to that project are editable. But, once a project is published and is backed by at least one backer then few fields are non editable like: Project Duration and Funding Amount.<br>If Project Owner still wants to edit the published project then he can contact to the site admin. Site admin can take proper action in such scenario and do the needful changes.</p>|Crowdfunding:Projects|FAQs for Project Owner
