How can I create an Event on this community?|<p>To create an Event, please follow the steps below:</p><p>1. Click on &ldquo;<strong>Events</strong>&rdquo; from the main navigation menu bar at the top of any Page on this community.</p><p>2. Go to &ldquo;<strong>Create</strong> <strong>New</strong> <strong>Event</strong>&rdquo; section.</p><p>3. Fill the basic details for your Event such as.</p><p>&nbsp;&nbsp;&nbsp;a) Event Title</p><p>&nbsp;&nbsp;&nbsp;b) Venue and Location</p><p>&nbsp;&nbsp;&nbsp;c) Start Date and End Date</p><p>&nbsp;&nbsp;&nbsp;d) Privacy Settings</p><p>4. When you are done, click on &ldquo;<strong>Create</strong>&rdquo; button to create your Event.</p><p>5. Configure and enhance your Event from its Dashboard.</p><p>6. Add content like Photos, Videos, Documents, etc to enhance your Event.</p>|Events|Basics
What are Featured Events? How can my Events be made Featured?|<p>Featured Events are Events which are specially marked as &ldquo;<strong>Featured</strong>&rdquo;. Such Events are more highlighted than others and thus gain more visibility. Featured Events appear in the &ldquo;<strong>Featured</strong> <strong>Events</strong>&rdquo; slideshow on Events Home. On &ldquo;<strong>Browse</strong> <strong>Events</strong>&rdquo; and in search results, they are marked with a &ldquo;<strong>Featured</strong>&rdquo; marker. Featured Events appear in a &ldquo;<strong>Featured</strong>&rdquo; tab on Events Home and the search form for Events also has a quick filter for seeing Featured Events. Events can be made Featured only by our site administrator.</p>|Events|Basics
What do the statuses “Published” and “Saved As Draft” mean?|<p>If you have completed configuring your Event and want it to be available for public then select its status as: &ldquo;<strong>Published</strong>&rdquo;, otherwise, if you would like to save current configurations of your Event, and continue configuring it later on, and would not like your Event to be visible to public, then choose status as: &ldquo;<strong>Saved As Draft</strong>&rdquo;. Once you save the Event as &ldquo;<strong>Published</strong>&rdquo;, it cannot be switched back to draft mode.</p>|Events|Basics
What are Sponsored Events? How can my Event be made Sponsored?|<p>Sponsored Events are Events which are specially marked as &ldquo;<strong>Sponsored</strong>&rdquo;. Such Events are more highlighted than others and thus gain more visibility. Sponsored Events appear in the &ldquo;Sponsored Events&rdquo; carousel on Events Home. On &ldquo;<strong>Browse</strong> <strong>Events</strong>&rdquo; and in search results, they are marked with a &ldquo;<strong>Sponsored</strong>&rdquo; marker. Events can be made Sponsored only by our site administrator.</p>|Events|Basics
How can I receive more or less notification from the events I have Joined?|<p>You can choose to receive more or less notification from the events that you have Joined by following the steps below:</p><p>1. Go to the Event Profile of the event which you have Joined.</p><p>2. Select &ldquo;<strong>Notification</strong <strong>Settings</strong>&rdquo; from the &ldquo;<strong>Settings</strong>&rdquo; option available in the Event&rsquo;s cover photo.</p><p>3. Now, from the &ldquo;<strong>Notification</strong> <strong>and Email Settings</strong>&rdquo; lightbox, choose the actions for which you want to get notified.</p><p>4. Click on &ldquo;<strong>Save Settings</strong>&rdquo; button to save your choices.</p>|Events|Basics
Can I create an Event for my Store?|<p>Yes, you can create an Event for your Store in one of the following ways:</p><p>1. To create an Event, please follow the steps below:</p><p>a. Go to the Store Profile. &nbsp;&nbsp;</p><p>b. Click &ldquo;<strong>Events</strong>&rdquo; tab on the Store Profile. You might have to click on the &ldquo;<strong>More</strong>&rdquo; tab to expand the menu bar to see &ldquo;<strong>Events</strong>&rdquo;.</p><p>c. Click on &ldquo;<strong>Create</strong> <strong>an</strong> <strong>Event</strong>&rdquo; link from the top left corner of the &ldquo;Events&rdquo; tab to create an event.</p><p>d. Fill up the basic details for your Store Event.</p><p>e. Click on &ldquo;<strong>Create</strong>&rdquo;, to add an Event to your Store.</p><p><br>2. From the &ldquo;<strong>Apps</strong>&rdquo; section of your Store Dashboard, click on the &ldquo;<strong>Create</strong> <strong>an</strong> <strong>Event</strong>&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;e&rsquo; as in case 1 above.</p>|Events|Basics
Who all can create Events on my Store?|<p>You can choose who all can create Events on your Store while creating your Store, by choosing the appropriate option for the &ldquo;<strong>Event</strong> <strong>Creation</strong> <strong>Privacy</strong>&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;<strong>Edit Store Details</strong>&rdquo; link for your Store.</p>|Events|Basics
How can Events be useful for my Page?|Events added to a Page are showcased on the Page’s Profile in its Events tab / section. Events created on your Page enable your customers and fans to stay updated with the happenings of your business / organization. They can be used for many purposes like product launches, sports matches, competitions, celebrations, etc. Visitors to your Page can join and share your events. They can also invite their friends to join the event.|Events|Basics
What all privileges do Leaders of an Event have?|<p>Event Leaders will have all the permissions for your Event as you currently have, to manage various aspects of your Event like editing it, viewing reports, editing style, adding new content, updating information, etc.</p>|Events|Basics
For which all content on this site, can I create events?|<p>You can create events for following content on this site:</p><p>a) Stores</p><p>b) Pages</p><p>c) Businesses</p><p>d) Products</p><p>e) Groups</p>|Events|Basics
