What is a Page?|<p>A Page enables you to showcase your offerings, businesses (hotels, stores, restaurants, etc), properties, organization, personalities, products, profiles, services, books, pets, etc by choosing the appropriate category. It enables you to have an effective online presence. You can interact with your fans and visitors through your Page. You can also enhance your Page by adding various Apps to it and get new fans virally by inviting your friends and your contacts to your Page and much more!<br><br>You can create a Page using your personal account on this community and can also add other people to administer your Page.</p>|Page and Business Solutions|Page Basics
How can I create a Page on this community?|<p>How can I create a Page on this community?<br>Ans: To create a Page, please follow the steps below:<br>1. Click on &ldquo;Pages&rdquo; from the main navigation menu bar at the top of any page on this community.<br>2. Go to &ldquo;Create New Page&rdquo; section.<br>3. Choose a suitable &ldquo;Package&rdquo; for your Page and click on &ldquo;Create a Page&rdquo; button placed alongside the chosen Package.<br>4. Fill the basic details for your Page.<br>5. When you are done, click on &ldquo;Create&rdquo; button to create your Page.<br>6. Configure and enhance your Page from its Dashboard.<br>7. Add content like Photos, Videos, Documents, Offers, etc to enhance your Page.<br><br>Tip: Our site administrators control Packages, if you are not asked to choose a Package while creating your Page, then they might have currently disabled this functionality.</p>|Page and Business Solutions|Page Basics
What do the statuses “Published” and “Saved As Draft” mean?|<p>If you have completed configuring your Page and want it to be available for public then select its status as: &ldquo;Published&rdquo;, otherwise, if you would like to save current configurations of your Page, and continue configuring it later on, and would not like your Page to be visible to public, then choose status as: &ldquo;Saved As Draft&rdquo;. Once you save the Page as &ldquo;Published&rdquo;, it cannot be switched back to draft mode.</p>|Page and Business Solutions|Page Basics
Can I add other members as administrators to my Page (Page Admins)?|<p>Yes, you can add other members to be admins of your Page. To do so, go to the &ldquo;Manage Admins&rdquo; section from the Page Dashboard. From here, you can add any number of Admins for your Page. These admins will have all the permissions as you currently have to manage various aspects of your Page. You can also choose Featured Admins for your Page from the &ldquo;Featured Admins&rdquo; section in Page Dashboard. These Featured Admins are shown on Page Profile in a separate block.<br>You can choose to have your business colleagues, managers, etc as admins for your Page, and have them assist you in keeping your Page active and updated.</p>|Page and Business Solutions|Page Basics
What all privileges do Admins of a Page have?|<p>Page Admins will have all the permissions for your Page as you currently have, to manage various aspects of your Page like editing it, viewing reports, editing style, adding new content, updating information, etc.</p>|Page and Business Solutions|Page Basics
When should I have a Featured Admin for my Page?|<p>When you want to display admins of your Page on your Page Profile, then you can make some or all the admins as Featured Admins. An example usage of making Featured Admin could be highlighting the Manager of your Store on your Page Profile in a block.</p>|Page and Business Solutions|Page Basics
What is the purpose of “Save to foursquare” button? How can it be useful for my Page?|<p>Foursquare offers free tools to help you attract new customers and to keep the existing customers engaged. With the help of &ldquo;Save to foursquare&rdquo; button on your Page, visitors can easily get foursquare reminders from you when they are near the places that you suggest. This button is very easy to setup. When one of your Page visitors clicks on the &ldquo;Save to foursquare&rdquo; button on your Page, your Page is saved on their to-do list in foursquare. Then, when they&rsquo;re out and about, foursquare Radar will buzz on their phone when they&rsquo;re close to it.</p>|Page and Business Solutions|Page Basics
The Map for my Page is not showing its exact Location. How do I point the correct Location on the Map?|<p>While creating your Page, or editing its information, you can specify its location. You can then accurately point out the exact location of your Page on map using a drag-and-drop marker from the &ldquo;Location&rdquo; section of your Page Dashboard.</p>|Page and Business Solutions|Page Basics
Can I Link my Page to other Pages?|<p>Yes, you can Link your Page to other Pages available on this website. You can Link your Page to another Page using the &ldquo;Link To Your Page&rdquo; option available on the other Page Profile. Any number of Pages can be linked to a Page. The other Pages linked to your Page will be shown on your Page Profile in a separate &ldquo;Linked Pages&rdquo; block. This functionality for linking Pages is very useful for connecting other Pages related to your Page. An example usage of Linking Pages could be a movie theater Page linking itself to the Pages of movies being played over there.</p>|Page and Business Solutions|Page Basics
Can I close my Page?|<p>Yes, you can close your Page on this website by using the &ldquo;Close Page&rdquo; option on the Page Profile or by visiting &ldquo;My Pages&rdquo; and using the corresponding &ldquo;Close Page&rdquo; link for your Page. Users will be able to browse your closed Page. However, if you want to permanently make your Page unavailable to public, you can delete your Page anytime.<br><br>You can also reopen your Page by using &ldquo;Open Page&rdquo; option available on the Page Profile or by visiting &ldquo;My Pages&rdquo;.</p>|Page and Business Solutions|Page Basics
What are Featured Pages?|<p>Featured Pages are Pages which are specially marked as &ldquo;Featured&rdquo;. Such Pages are more highlighted than others and thus gain more visibility. Featured Pages appear in the &ldquo;Featured Pages&rdquo; slideshow on Pages Home. On &ldquo;Browse Pages&rdquo; and in search results, they are marked with a &ldquo;Featured&rdquo; marker and their entries have a distinct background color. Their Page Profiles also have a marker. Featured Pages appear in a &ldquo;Featured&rdquo; tab on Pages Home and the search form for Pages also has a quick filter for seeing Featured Pages. In all maps, markers for Featured Pages appear with jumping animation effect.</p>|Page and Business Solutions|Page Basics
