How can Documents be useful for my Page?|<p>Documents added to a Page are showcased on the Page&rsquo;s Profile in its Documents tab / section. Documents can be used by Pages for a variety of purposes like displaying restaurant menus, property designs, work portfolios, presentations, tutorials, reports, books, etc. Visitors to your Page will be able to view, share, print, download documents, and also comment on them.</p>|Page and Business Solutions|Documents
In which all formats can I upload documents for my Page?|<p>You can upload documents on your Page in 24 popular document formats (like: doc and docx for text documents, ppt and pptx for powerpoint presentations, xls and xlsx for spreadsheet presentations.) and many more.</p>|Page and Business Solutions|Documents
How can I upload “Documents” on my Page?|<p>You can add a Document to your Page in one of the following ways:<br>1. To upload a Document, please follow the steps below:<br> a. Go to the Page Profile.&nbsp; &nbsp;<br>b. Click &ldquo;Documents&rdquo; tab on the Page Profile. You might have to click on the &ldquo;More&rdquo; tab to expand the menu bar to see &ldquo;Documents&rdquo;.<br>c. Click on &ldquo;Add a Document&rdquo; link from the top left corner of the &ldquo;Documents&rdquo; tab to add a document.<br>d. Fill up the form to add a document.<br>e. Browse and choose a file for your document of allowed file types (like pdf, txt, etc.).<br>f. Click on &ldquo;Submit&rdquo;, to add a document to your Page.<br><br>2. From the &ldquo;Apps&rdquo; section of your Page Dashboard, click on the &ldquo;Add a Document&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;f&rsquo; as in case 1 above.</p>|Page and Business Solutions|Documents
When I uploaded a document a message, “Document  format conversion in progress” is shown. What does this mean and what should I do?|<p>After your document is uploaded, its format is converted to a web browser friendly format. Format conversion for the document takes some time. During this time, the message: &ldquo;Document&nbsp; format conversion in progress&rdquo; appears on the main Page document. Once document format conversion is completed, the message goes away and the document can be viewed in the browser.</p>|Page and Business Solutions|Documents
The format conversion for the document file uploaded by me has failed. What should I do?|<p>If the format conversion for the document file uploaded by you fails, then you should do one of the below things:<br>1) Edit the document to upload a new file.<br>2) Delete the document entry and create a completely new document entry.</p>|Page and Business Solutions|Documents
What are Sponsored Page Documents? How can Documents created on my Page be made Sponsored?|<p>Sponsored Page Documents are those Documents which have been created for Paid Pages. These Sponsored Documents will appear in the &ldquo;Sponsored Documents&rdquo; block in the &ldquo;Documents&rdquo; section under Page navigation. On &ldquo;Browse Documents&rdquo; for Page Documents and in search results, they are marked with a &ldquo;Sponsored&rdquo; marker. The search form for Page Documents also has a quick filter for seeing Sponsored Documents.<br>If your Page is created under a Paid Package, then the Documents created for it would automatically be made Sponsored. The availability of Paid Page Packages on our site is conditional depending on the settings configured by our site administrators.</p>|Page and Business Solutions|Documents
What are Featured Page Documents? Who can mark Documents for Pages as Featured?|<p>Featured Page Documents are documents of Pages which are specially marked as &ldquo;Featured&rdquo;. Such documents are more highlighted than others and thus gain more visibility. Featured Page Documents appear in the &ldquo;Featured Documents&rdquo; slideshow in the &ldquo;Documents&rdquo; section under Page navigation. On &ldquo;Browse Documents&rdquo; for Page Documents and in search results, they are marked with a &ldquo;Featured&rdquo; marker. The search form for Page Documents also has a quick filter for seeing Featured Documents.<br>Page Documents can be made Featured only by our site administrators.</p>|Page and Business Solutions|Documents
What are Highlighted Page Documents? Who can mark Documents for Pages as Highlighted?|<p>From amongst the documents that a Page would have on this site, the Page Admins will be able to choose some documents as &ldquo;Highlighted&rdquo;. In the &ldquo;Documents&rdquo; tab of a Page, the Highlighted Documents appear in an attractive Carousel on the top. Such documents also appear on top in the listing of documents in the &ldquo;Documents&rdquo; tab of the Page. Over here, users will also be able to quickly filter the documents to see the Highlighted Documents of the Page.<br>Page Admins can mark selected documents of their Page as &ldquo;Highlighted&rdquo; by using the &ldquo;Make Highlighted&rdquo; option in the listing of their Page Documents.</p>|Page and Business Solutions|Documents
I want to search for a specific Page Document. How can I do that?|<p>You can search for a Page Document using the detailed search box available in the &ldquo;Documents&rdquo; section under Page navigation.</p>|Page and Business Solutions|Documents
Who all can create Documents on my Page?|<p>You can choose who all can create Documents for your Page while creating your Page, by choosing the appropriate option for the &ldquo;Documents Creation Privacy&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;Edit Page Details&rdquo; link for your Page.</p>|Page and Business Solutions|Documents
I have a Page on this site. However, the Documents feature is not available for my Page. What could be the reason?|<p>The reason why Documents feature is not available for your Page could be that, you might have chosen a Package for your Page for which the Documents App is not available. In this case, you can see if choosing a different Package with the Documents App suits you. You can change the Package for your Page from the &ldquo;Packages&rdquo; section of your Page Dashboard.<br>Availability of Packages for Pages, and their features are conditional depending on the settings chosen by our site administrator.</p>|Page and Business Solutions|Documents
