How can adding Music be useful for my Page?|<p>Adding Music on your Page will enable you create and share multiple Playlists on your Page. An attractive music player provides great experience to visitors of your Page. This is a great tool to showcase your talent and work on your Page.</p>|Page and Business Solutions|Music
How can I add Music to my Page?|<p>You can add Music to your Page in one of the following ways:<br>1. To add a music playlist, please follow the steps below:<br> a. Go to the Page Profile.<br>b. Click &ldquo;Music&rdquo; tab on the Page Profile. You might have to click on the &ldquo;More&rdquo; tab to expand the menu bar to see &ldquo;Music&rdquo;.<br>c. Click on &ldquo;Upload Music&rdquo; link from the top left corner of the &ldquo;Music&rdquo; tab to add music.<br>d. Fill up the form to add music. To make your Page music playlist attractive, upload a suitable image for your &ldquo;Playlist Artwork&rdquo;.<br>e. Click on &ldquo;Add Music&rdquo; to upload music for your Page.<br>f. Click on &ldquo;Save Music to Playlist&rdquo;, to save Playlist for your Page.<br>&nbsp;<br>2. From the &ldquo;Apps&rdquo; section of your Page Dashboard, click on the &ldquo;Upload Music&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;f&rsquo; as in case 1 above.</p>|Page and Business Solutions|Music
How many songs can I upload in a Playlist on my Page?|<p>There is no limit to the number of songs that you can upload in a Playlist on your Page. You can upload any number of songs on your Page.</p>|Page and Business Solutions|Music
How many Playlists can I create?|<p>There is no limit on the number of Playlists that you can create for your Page. You can create any number of Playlists for your Page.</p>|Page and Business Solutions|Music
Can I rename my Playlists?|<p>Yes, you can rename your Playlists by using the &ldquo;Edit Playlist&rdquo; option for them.</p>|Page and Business Solutions|Music
What is the purpose of “Play on Page Profile”?|<p>Amongst the music playlists for your Page, you might want to highlight one of them. This could be because that playlist might be a recent release, your most admired tracks, etc. The music playlist of your Page for which you select the &ldquo;Play on Page Profile&rdquo; option, will be prominently displayed on your Page Profile in a block. This also makes your Page more attractive.</p>|Page and Business Solutions|Music
I want to search for a specific Page Music playlist. How can I do that?|<p>You can search for a Page Music playlist by using the detailed search box available in the &ldquo;Music&rdquo; section under Page navigation.</p>|Page and Business Solutions|Music
Who all can create Music on my Page?|<p>You can choose who all can create Music for your Page while creating your Page, by choosing the appropriate option for the &ldquo;Music Creation Privacy&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;Edit Page Details&rdquo; link for your Page.</p>|Page and Business Solutions|Music
What are Sponsored Page Playlists? How can Playlists created on my Page be made Sponsored?|<p>Sponsored Page Playlists are those Playlists which have been created for Paid Pages. These Sponsored Playlists will appear in the &ldquo;Sponsored Playlists&rdquo; block in the &ldquo;Playlists&rdquo; section under Page navigation. On &ldquo;Browse Playlists&rdquo; for Page Playlists and in search results, they are marked with a &ldquo;Sponsored&rdquo; marker. The search form for Page Playlists also has a quick filter for seeing Sponsored Playlists.<br>If your Page is created under a Paid Package, then the Playlists created for it would automatically be made Sponsored. The availability of Paid Page Packages on our site is conditional depending on the settings configured by our site administrators.</p>|Page and Business Solutions|Music
What are Featured Page Music Playlists? Who can mark Music Playlists for Pages as Featured?|<p>Featured Page Music Playlists are music playlists of Pages which are specially marked as &ldquo;Featured&rdquo;. Such playlists are more highlighted than others and thus gain more visibility. Featured Page Music appear in the &ldquo;Featured Playlists&rdquo; slideshow in the &ldquo;Music&rdquo; section under Page navigation. On &ldquo;Browse Music&rdquo; for Page Music and in search results, they are marked with a &ldquo;Featured&rdquo; marker. The search form for Page Music also has a quick filter for seeing Featured Music.<br>Page Music can be made Featured only by our site administrators.</p>|Page and Business Solutions|Music
I have a Page on this site. However, the Music feature is not available for my Page. What could be the reason?|<p>The reason why Music feature is not available for your Page could be that, you might have chosen a Package for your Page for which the Music App is not available. In this case, you can see if choosing a different Package with the Music App suits you. You can change the Package for your Page from the &ldquo;Packages&rdquo; section of your Page Dashboard.<br>Availability of Packages for Pages, and their features are conditional depending on the settings chosen by our site administrator.</p>|Page and Business Solutions|Music
