Can I share the posts made by my friends?|<p>Yes, you can share the posts made by your friends by using the &ldquo;<strong>Share</strong>&rdquo; link available at the bottom of each post. The shared posts will be displayed on your wall as well as on your friends&rsquo; walls.</p>|Popular Features|Sharing and Suggestions
What is the difference between sharing a content and suggesting a content?|<p>When you share a content, that content is shared with all your friends via activity feeds and walls. However, when you suggest a content, you can choose to suggest that to selected of your friends. The selected friends who have been suggested a content by you will receive update notifications, email notifications and requests from you to view that content. Thus, suggestions have a more personal feeling than sharing and are more likely to gather attention.</p>|Popular Features|Sharing and Suggestions
How can I suggest a content to my friends?|<p>You can easily share any content of your choice with your friends by following the steps below:<br>1. Go to the Content Profile Page.<br>2. Click on the &ldquo;<strong>Suggest to Friends</strong>&rdquo; link.<br>3. From the popup, select your friends with whom you want to share the content. You can also choose to suggest the content to all your friends by choosing the &ldquo;<strong>Select All</strong>&rdquo; option.<br>4. When you are done selecting your friends, click on &ldquo;<strong>Send Suggestions</strong>&rdquo; button. <br>Update notifications, email notifications and requests will be sent to your friends for the suggestion from you.<br><br>Tip: You can also suggest your newly created content like a photo album, video, group, page, etc. to your friends immediately after creating them by using the suggestion popup that automatically comes after creation.</p>|Popular Features|Sharing and Suggestions
I have created a new content and want to suggest it to some of my friends. How can I do this?|<p>For most of the content types, like a photo album, video, group, blog, page, etc, after you create a new content, a popup will come automatically which will enable you to suggest that content to selected of your friends. From the popup, you will be able to select the desired friends and suggest your content to them. This will help you to get attention of your desired contacts on your content.</p>|Popular Features|Sharing and Suggestions
Where can I see the suggestions made to me by my friends?|<p>Whenever a suggestion is made to you by a friend, you will receive an update notification for it. You can see your update notifications by clicking on the bright button / link for them in the header of your site. To see all the suggestions made to you, click on the &ldquo;<strong>View All Updates</strong>&rdquo; link at the bottom of the &ldquo;Updates&rdquo; dropdown. From here, you will be able to take action on the suggestions, or ignore them. You can also see the suggestions made to you from your homepage. In the &ldquo;Requests&rdquo; block in the right side of your home page, you will see links for the various suggestion types. Clicking on them will lead you to the listing of your notification updates. Depending on the setting chosen by our site administrators, you will also receive an email notification for each suggestion made to you by a friend.</p>|Popular Features|Sharing and Suggestions
At some places, I see content and other members being recommended to me. How are these recommendations shown?|<p>Our site recommends various content and members to you based on relevancy. We recommend these to you by finding the content that you are most likely to find interesting and relevant. Members are recommended to you by finding the ones that you would most likely want to be friends with. Sometimes we recommend to you a friend with whom you have not communicated for long. These recommendations are made to provide you a great experience on our website.</p>|Popular Features|Sharing and Suggestions
Where can I collectively see recommendations of content of various types? What is the purpose of Explore Suggestions section?|<p>To collectively view recommendations of content of various types, please follow the steps below:<br>1. Go to your Home Page.<br>2. Click on &ldquo;<strong>Explore Suggestions</strong>&rdquo; link available in the left side.<br>3. This page would display recommended content and members to you.</p>|Popular Features|Sharing and Suggestions
I do not find a recommendation useful. What can I do?|<p>If you do not find a recommendation useful, you can remove / delete it by clicking on the <strong>cross (X)</strong> sign in the top-right part of that recommendation. Once you have removed a recommendation, your action will be remembered by our system, and that recommendation it will not be shown to you in future.</p>|Popular Features|Sharing and Suggestions
When I clicked on a suggestion, I was redirected to a page with a message, "Suggestion not found". Why did this happen?|<p>The message: &ldquo;<strong>Suggestion not found</strong>&rdquo; would have been shown to you because you might have tried to visit a suggested content which would have been deleted / removed from the site, or for which the content owner might have changed view privacy.</p>|Popular Features|Sharing and Suggestions
I want to invite some of my friends / contacts to join me on this site. How can I invite them here?|<p>You can invite your friends and contacts on this site using your multiple other social network accounts, email accounts and many other services. Invited friends will receive an email or a message from you with a suitable link to join this site and connect with you here. You can send invites using the following steps:<br>1. Go to your Home Page.<br>2. Click on the &ldquo;<strong>Find Friends</strong>&rdquo; link in the left side.<br>3. On this page, in the &ldquo;<strong>Add Your Contacts as Friends Here</strong>&rdquo; section, you will be able to invite your contacts from various web accounts (Facebook, Twitter, LinkedIn, Gmail, Yahoo, Windows Live, etc) and other services (Mac &amp; Outlook Address Books, etc.). Choose the desired service to send your invites.<br>4. If some of the invited contacts will already be members of this site, they will receive friend requests from you, otherwise, they will receive a link to become member of this site. After they join this site, they will automatically receive a friend request from you and will be able to connect with you here.</p>|Popular Features|Sharing and Suggestions
My problem is not listed above. What should I do now?|<p>If your problem is not listed above, then please contact us by filling the &ldquo;<strong>Contact Us</strong>&rdquo; form using the &ldquo;<strong>Contact</strong>&rdquo; link available in the footer of our site. Let us know your problem and we will try to fix it as soon as possible.</p>|Popular Features|Sharing and Suggestions
